time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.002200640,3.00000006,7.15814202,0.00501392,0.67345033,1.45433831,1.4848905,2.9e-07,7.196e-05,0.29211714,7.63e-06,2.66e-06,5.1e-07,2.5e-07,0.0,5.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,1748.82,0.0,22.41667015,0.0,0.0,56.39137477,38.64899838,100.0,0.0,0.0,24.33697328,0.00154497,0.00469875,0.02542688,0.01373324,0.00210636,0.00958795,15.04295418,4.05539551,0.02085582,0.01808239,0.00277342,0.05054262,0.01310237,18.4829012,0.0,0.0,0.00126399,0.00189883,0.00089296,0.0,0.00079725,0.00015147,0.03744025,53.09551674,68.8344601,75.59162829,67.85375239,0.20335787,0.1356862,0.06758436,7.7378759
    10.003258605,2.99999915,7.17132311,0.0051007,0.65965949,1.46964713,1.51593362,2.8e-07,1.364e-05,0.29226381,8.44e-06,2.57e-06,1.82e-06,5.7e-07,0.0,5.1e-07,1e-08,0.0,0.0,0.0,0.0,0.0,1881.0375,0.0,22.24802176,0.0,0.0,56.40106254,38.64345967,100.0,0.0,0.0,24.35158123,0.00144458,0.00483955,0.07784888,0.06590239,0.00234594,0.00959492,15.04368814,4.05942277,0.05066279,0.04892133,0.00174146,0.02816628,0.0073039,18.49034217,0.0,0.0,0.00128302,0.00179881,0.00095139,0.0,0.00102406,4.453e-05,0.02086238,53.09165488,68.85897724,75.56958969,67.58212514,0.20347655,0.13576537,0.06762392,7.98746455
    15.004255326,2.99999952,7.17245713,0.00518924,0.65668302,1.50439663,1.52280472,2.8e-07,4.86e-06,0.29212468,7.47e-06,2.56e-06,5.1e-07,2.5e-07,0.0,3.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.61782079,0.0,0.0,56.37335301,38.66936588,100.0,0.0,0.0,24.94633993,0.00145082,0.00514708,0.02424466,0.0128318,0.00201044,0.00940207,15.0408171,4.0606368,0.15055528,0.13016197,0.02039331,-0.63322909,-0.16521985,18.35580458,0.0,5.65e-06,0.00153485,0.00735919,0.00142995,0.0,0.00083875,0.00017699,-0.46800924,52.29400346,68.86626011,75.53633388,66.72574741,0.2036019,0.13584901,0.06766564,8.81058646
    20.005234886,3.00000056,7.17275626,0.0051257,0.65685076,1.4868384,1.52241583,1.292e-05,4.31e-06,0.29212396,7.45e-06,6.57e-06,5.3e-07,2.6e-07,0.0,3.23e-06,0.0,0.0,0.0,0.0,0.0,2e-08,385.36363636,39.16704509,20.40006962,0.0,0.0,56.38450752,38.65841582,100.0,0.0,0.0,24.34497942,0.00147638,0.00539973,0.0259393,0.01299102,0.00199616,0.0109519,15.04310376,4.06085552,0.02064702,0.01789702,0.00275,0.02876797,0.00749357,18.47925973,0.0,0.02239115,0.00450076,0.00607177,0.00124259,0.0,0.00129179,7.426e-05,0.0212744,52.86478735,68.6918965,75.60560559,67.87535284,0.20337971,0.13570069,0.06759168,7.73025275
    25.006194693,3.00000006,7.17253994,0.00514366,0.65678284,1.49160252,1.52257327,2.8e-07,4.22e-06,0.29212229,3.078e-05,2.56e-06,1.9e-06,3.9e-07,1e-08,5.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,652.01423488,0.0,21.94481058,0.0,0.0,56.40877076,38.63369471,100.0,0.0,0.0,24.34272782,0.00948073,0.00611696,0.02456622,0.0130486,0.00200745,0.00951015,15.04488881,4.05657383,0.02063672,0.0178852,0.00275153,0.0346214,0.00897365,18.48468645,0.0,0.0,0.00124612,0.00194317,0.00101174,0.0,0.00091483,5.377e-05,0.02564775,53.11041856,68.77901396,75.60201406,67.86762526,0.22181235,0.15126815,0.07045686,7.73438879
    30.007138096,2.99999895,7.17213146,0.00545238,0.67925371,1.63990117,1.47220395,2.9e-07,0.00180873,0.29212328,1.596e-05,2.62e-06,9.8e-07,3e-07,6.77e-06,5.4e-07,0.0,0.0,6e-08,1e-08,1e-08,0.0,387.90929705,0.0,22.468069,0.0,0.0,52.4544364,41.02066274,100.0,0.0,0.0,24.36084552,0.00145518,0.13785751,0.02481675,0.01311018,0.00199469,0.00971169,14.81336012,3.74618618,0.02060253,0.01788184,0.00272069,0.02691087,0.0069751,18.49033728,0.0,0.0,0.00124998,0.00200591,0.00084043,0.0,0.00079382,5.077e-05,0.01993577,52.31931134,68.84383821,75.59164108,67.85268984,0.2293933,0.13570362,0.06759305,7.73895125
    35.008105016,3.00000133,7.17285873,0.00585103,0.71499601,1.83292775,1.39860919,5.04e-06,0.00456615,0.29545247,0.00149876,0.00197721,0.0014559,0.00034898,2.046e-05,5.7e-07,0.0,3e-08,3e-08,0.0,0.0,1e-08,106.97770088,46.37840671,30.12170356,0.0,0.0,48.72037353,43.4987152,100.0,0.0,0.0,23.40202213,0.17122049,0.27545694,0.28707242,0.22013263,0.02168333,0.04525428,14.52650412,3.42414085,0.60397219,0.54981476,0.05415742,3.25940518,0.95478449,17.11270922,0.0,0.00014422,0.50839615,0.64249096,1.67669853,0.04184378,1.98182356,0.9644161,2.30462069,49.78261488,65.8677661,72.73460051,62.91234456,0.2231548,0.11635839,0.05792217,9.82225595
    40.009047078,2.99999989,7.17224008,0.00574365,0.71616349,1.81500256,1.39632921,6.978e-05,0.00477838,0.29452648,0.00176886,0.00211092,0.00129675,0.00033316,1.834e-05,4.8e-07,0.0,2e-08,2e-08,0.0,0.0,1e-08,147.67190684,51.4336518,29.59669206,0.0,0.0,47.34558212,43.70929028,100.0,0.0,0.0,23.60837756,0.1904214,0.69262801,0.37156963,0.26046909,0.02942711,0.0816727,14.72725335,3.39632372,0.74171352,0.66642283,0.07529069,3.31664727,0.96821812,17.3776732,0.0,0.00178928,0.46837656,0.58732339,1.67400793,0.03354389,1.80945295,0.76315854,2.34842915,49.90631647,65.64540762,72.33326164,62.72131474,0.21892965,0.11354771,0.05651744,9.6119469
    45.010056359,2.99999929,7.17283561,0.00569204,0.71652393,1.8023908,1.39562681,7.4e-05,0.00469499,0.29429376,0.00179955,0.00208813,0.0012515,0.00033178,1.9e-05,4.4e-07,0.0,2e-08,2e-08,0.0,0.0,1e-08,135.56889915,51.54887715,32.51131185,0.0,0.0,47.34721319,43.78859598,100.0,0.0,0.0,23.63211345,0.19758492,0.71042065,0.42593172,0.30680438,0.03231708,0.08680873,14.79115456,3.40207868,0.90435494,0.8181731,0.08618184,3.12260103,0.90977039,17.45123918,0.0,0.00183406,0.46147493,0.58472094,1.60158603,0.02957991,1.74723329,0.72594672,2.21283065,49.89273184,65.6493997,72.34093058,62.77817555,0.2184366,0.11346773,0.05647753,9.56275503
    50.011072601,3.00000115,7.17263255,0.0056827,0.71649182,1.79448729,1.39568934,7.631e-05,0.00471681,0.29423942,0.00178137,0.0021116,0.00121409,0.00032635,1.765e-05,4.4e-07,0.0,2e-08,2e-08,0.0,0.0,4e-08,158.51610804,64.46909871,32.21297187,0.0,0.0,47.66690766,44.07853912,100.0,0.0,0.0,23.65282301,0.19414665,0.4989552,0.44257689,0.32953596,0.02672059,0.08631423,14.81414827,3.40090687,0.95385655,0.8823137,0.07154285,3.05748339,0.88509078,17.39839081,0.0,0.00179643,0.46667234,0.57923774,1.54121846,0.02112132,1.66115785,0.68657529,2.17239261,49.97554884,65.75910795,72.33583706,62.75520912,0.2189515,0.1135626,0.05652487,9.58062794
    55.012043536,2.99999981,7.17226124,0.26997714,0.71614348,1.04838866,1.39636822,7.809e-05,0.00463182,0.29407064,0.00174892,0.00210511,0.00117998,0.00032204,1.736e-05,4.4e-07,0.0,2e-08,2e-08,0.0,0.0,5e-08,136.2374197,56.33560322,31.68706628,0.0,0.0,47.87719193,44.38548463,100.0,0.0,0.0,23.70468603,0.19350251,0.30221962,0.44262513,0.33084676,0.02560583,0.08617355,14.80437588,3.40539494,0.96434237,0.89506867,0.0692737,2.90234016,0.83300651,17.36736439,0.0,0.00174621,0.46065341,0.58054608,1.47294415,0.01575227,1.5417488,0.61090893,2.06933365,50.20209743,65.79028993,72.42863145,62.79127907,0.2214599,0.11358614,0.05653687,9.63735237
    60.013036941,2.99999911,7.17290609,0.31239147,0.71542498,1.05496967,1.39777059,8.039e-05,0.0045759,0.29387724,0.00173812,0.00208748,0.00115822,0.00031801,1.684e-05,4.4e-07,0.0,2e-08,2e-08,0.0,0.0,1e-08,152.02669466,73.3313897,31.02718684,0.0,0.0,47.80910005,44.37082369,100.0,0.0,0.0,23.751607,0.18648321,0.29678937,0.43545268,0.32391105,0.02409657,0.08744372,14.80061568,3.41223999,0.93243289,0.86786983,0.06456306,2.67081711,0.760484,17.39915106,0.0,0.00170958,0.46052733,0.57007517,1.33643824,0.01416302,1.50237961,0.55814791,1.91033311,50.40976269,65.92982535,72.64514299,62.88258453,0.22533689,0.11342542,0.05645717,9.76255846
    65.014031244,3.00000121,7.17189652,0.11929285,0.71516676,1.06776409,1.39827528,8.365e-05,0.00456901,0.29398368,0.00172728,0.00204223,0.00113143,0.00031391,1.635e-05,4.4e-07,0.0,2e-08,2e-08,0.0,0.0,1e-08,148.19713877,62.9904502,33.42169437,0.0,0.0,44.82670221,47.15754928,100.0,0.0,0.0,23.73852861,0.18050075,0.29219597,0.43049167,0.32198023,0.02282776,0.08567797,15.03562511,3.40916386,0.92371887,0.86256473,0.06115413,2.70102168,0.76792965,17.35263777,0.0,0.00175414,0.46263467,0.5664094,1.34606494,0.01060166,1.38585063,0.5642561,1.93309203,50.44527847,65.99208032,72.63673084,62.88600874,0.2268575,0.11376979,0.05662926,9.7507221
