time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.002170634,2.99999885,7.16133201,0.00502699,0.67073477,1.45743959,1.49090227,2.9e-07,5.859e-05,0.29211797,7.27e-06,2.38e-06,5.3e-07,2.5e-07,0.0,2.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,487.70603675,0.0,25.88191759,0.0,0.0,56.39581439,38.64323157,100.0,0.0,0.0,24.29736809,0.00148981,0.00626909,0.07724288,0.06594211,0.00207296,0.00922843,15.0417458,4.05485653,0.08633348,0.08370221,0.00263127,0.0785333,0.02032262,18.45723073,0.0,0.0,0.00112684,0.00193217,0.00122336,0.0,0.00078207,3.037e-05,0.05821068,53.07289667,68.78683122,75.53776513,67.80756216,0.20346342,0.13575668,0.06761949,7.73020297
    10.003250801,2.99999991,7.17206036,0.00503843,0.65794117,1.46307936,1.51989273,2.8e-07,8.23e-06,0.29233656,7.36e-06,2.3e-06,5.5e-07,2.6e-07,0.0,5.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,1069.97142857,122.35483871,27.01377329,0.0,0.0,56.42281492,38.62159407,100.0,0.0,0.0,24.35386956,0.00145385,0.00572236,0.10286966,0.0907646,0.00259152,0.00950555,15.03560973,4.0567534,0.02088317,0.02030347,0.00057971,0.01375182,0.00355941,18.46436119,0.0,0.0,0.00108651,0.00190495,0.00094039,0.0,0.00090768,1.448e-05,0.01019241,53.14888354,68.87826702,75.61149544,67.87244853,0.20336033,0.13568629,0.06758445,7.73904691
    15.004260505,2.99999955,7.17227476,0.00501584,0.65687862,1.45293541,1.52235126,4.2e-07,4.84e-06,0.2923487,7.33e-06,2.34e-06,5.4e-07,2.5e-07,1e-08,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,615.99585062,294.69565217,28.4108988,0.0,0.0,56.40197955,38.63981134,100.0,0.0,0.0,24.33040167,0.00142763,0.00540167,0.09623037,0.08475268,0.00255254,0.00891749,15.0438556,4.05659397,0.19603456,0.19030311,0.00573145,0.03712473,0.00961358,18.45728907,0.0,0.0,0.00114076,0.00158522,0.00076828,0.0,0.00089069,1.287e-05,0.02751115,53.09454167,68.88009988,75.43643904,66.24809216,0.2039202,0.13606148,0.06777154,9.18834688
    20.005321534,3.00000038,7.17293958,0.00498135,0.65689642,1.4480127,1.52231001,2.9e-07,3.72e-06,0.2921229,7.28e-06,2.3e-06,5.5e-07,2.5e-07,0.0,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,489.31561462,0.0,29.00572115,0.0,0.0,56.38638688,38.65176865,100.0,0.0,0.0,24.35075087,0.00148325,0.0075856,0.0238382,0.01282422,0.0020152,0.00899815,15.04453985,4.05450546,0.17267458,0.1492253,0.02344928,0.01115525,0.00288953,18.4668587,0.0,0.0,0.00114699,0.00197391,0.00084864,0.0,0.00069127,1.553e-05,0.00826572,53.1013757,68.87445413,75.4654193,66.47492418,0.20378802,0.13597329,0.06772755,8.99049511
    25.006316316,2.99999994,7.17282559,0.00507652,0.6568689,1.47328415,1.52237379,2.8e-07,3.82e-06,0.29212343,7.2e-06,2.34e-06,5.5e-07,2.5e-07,0.0,4.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,1025.48571429,150.1,28.07401389,0.0,0.0,56.41090317,38.63158064,100.0,0.0,0.0,25.63617083,0.00146309,0.00502607,0.02413668,0.01275774,0.00202883,0.00935033,15.04290953,4.05720364,0.09658266,0.0833308,0.01325185,-1.31306538,-0.33288929,18.21416043,0.0,0.0,0.00106809,0.0017927,0.00076962,0.0,0.00080621,1.522e-05,-0.98017609,53.17566881,68.91441434,75.58031189,67.21654256,0.20357223,0.13582923,0.06765571,8.36376933
    30.007348384,2.99999924,7.17179407,0.00562603,0.6758778,1.71129049,1.47955739,2.9e-07,0.00116398,0.29212422,0.00027612,2.33e-06,0.00024188,6.344e-05,1.034e-05,4.9e-07,0.0,0.0,1e-08,0.0,0.0,0.0,660.105,0.0,28.73072993,0.0,0.0,50.67508569,42.35076905,100.0,0.0,0.0,27.89997981,0.00146028,0.19085144,0.02381764,0.01273698,0.0020201,0.00906031,14.54241312,3.58195885,0.02065114,0.0178242,0.00282694,-3.65951944,-0.90158513,17.79727186,0.0,0.0,0.00110756,0.00189227,0.00080108,0.0,0.00076909,4.851e-05,-2.75793431,52.87435944,68.98974603,75.73888849,67.98686166,0.26918041,0.13570435,0.06759356,7.75202683
    35.008332192,3.00000068,7.17299968,0.00615865,0.74506753,1.97240776,1.34216021,5.26e-06,0.00526786,0.29547588,0.00163651,0.00234019,0.00181702,0.00043083,2.946e-05,5.9e-07,0.0,3e-08,4e-08,0.0,0.0,1e-08,218.25303355,52.27430719,44.81851528,0.0,0.0,43.62908017,45.16280335,100.0,0.0,0.0,23.57103613,0.17737162,0.38670401,0.34185397,0.27064555,0.0133453,0.05786094,14.02223288,3.10581637,0.75652879,0.72097799,0.03555081,2.33168792,0.65105764,16.27455848,0.0,0.00013269,0.72046661,0.83295175,1.05497102,0.00451103,1.26136363,0.73758713,1.68063027,50.32875231,66.35369529,73.34074716,60.78482099,0.28867014,0.10811117,0.05380428,12.55592618
    40.009342014,3.00000022,7.17171783,0.00628011,0.75037141,2.00975761,1.33267337,5.37e-06,0.00529029,0.29549976,0.00163408,0.00229237,0.00181044,0.00042339,2.898e-05,5.3e-07,0.0,6e-08,5e-08,0.0,0.0,2e-08,142.76895425,41.88846554,45.32598806,0.0,0.0,43.83512494,45.14475226,100.0,0.0,0.0,23.41756589,0.19337041,0.40424546,0.39520137,0.30999289,0.02716138,0.05805087,13.96001473,3.09646284,0.92459344,0.85010755,0.07448589,3.13944182,0.9119135,16.27762551,0.0,0.00016105,0.68431108,0.78311975,1.76874598,0.03335557,1.95462525,0.95747299,2.22752832,49.41004129,65.6873767,72.51839885,60.26227031,0.28505942,0.1091441,0.05431842,12.25612854
    45.010297825,2.99999945,7.17245561,0.00642299,0.75123881,2.05745789,1.33113463,5.51e-06,0.00525866,0.2954747,0.00163648,0.00204934,0.00180975,0.00042593,2.923e-05,5.4e-07,0.0,5e-08,5e-08,0.0,0.0,2e-08,161.79504614,42.12078381,45.40508137,0.0,0.0,43.94597135,45.1001651,100.0,0.0,0.0,23.39508696,0.1919607,0.41078009,0.38173724,0.29455437,0.02926208,0.05791864,13.93555611,3.0975613,0.99481709,0.90491921,0.08989789,3.26495956,0.94528703,16.27560391,0.0,0.00016859,0.67904665,0.78627233,1.83695096,0.04227985,1.9968823,1.06018754,2.31967253,49.81499403,65.59795888,72.34513639,60.19614927,0.28404827,0.10935122,0.05442137,12.14898712
    50.011315395,3.00000069,7.17295308,0.00645221,0.75196371,2.06832905,1.32985141,2.148e-05,0.00527544,0.29546902,0.00191545,0.00217448,0.00189702,0.00045763,2.852e-05,5.4e-07,0.0,5e-08,6e-08,0.0,0.0,2e-08,147.90493083,41.04267425,48.97197458,0.0,0.0,43.97257332,45.13445131,100.0,0.0,0.0,23.37536631,0.21767389,0.41234163,0.40470709,0.31756299,0.0283565,0.05878456,13.93088032,3.09889917,0.95837478,0.87981271,0.07856207,3.29039521,0.95570283,16.23445593,0.0,0.00068743,0.68598643,0.80547348,1.95084708,0.04954484,2.01126001,1.05945564,2.33469238,49.79513522,64.17918838,72.3758637,60.27163972,0.26929314,0.10017581,0.04983824,12.10422398
