metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.9999999675,3.000000114,2.99999978,3.00000019
metric_CPU utilization %,7.171854131000001,7.1729833465,7.15988638,7.1731881
metric_CPU utilization% in kernel mode,0.006611839499999999,0.007198970500000011,0.00501539,0.02272958
metric_CPI,0.728320811,0.7840162585,0.65672673,0.78427349
metric_kernel_CPI,1.7887436960000003,2.1116552229999996,1.21185643,2.11875121
metric_IPC,1.3812221590000004,1.5223727695,1.27506542,1.52270336
metric_locks retired per instr,0.00010929549999999998,0.00022799750000000016,2.8e-07,0.00044607
metric_L1D MPI (includes data+rfo w/ prefetches),0.0034974029999999996,0.006028985,3.59e-06,0.00605777
metric_L1D demand data read hits per instr,0.2935632865,0.2953924675,0.2921245,0.2954118
metric_L1-I code read misses (w/ prefetches) per instr,0.0012701175,0.0023065015,7.36e-06,0.00230767
metric_L2 demand data read hits per instr,0.0015485409999999998,0.0026451254999999996,2.27e-06,0.00265739
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0012024865,0.0020884205,5.1e-07,0.0020985
metric_L2 demand data read MPI,0.00030129249999999994,0.0005293335000000001,2.4e-07,0.00053206
metric_L2 demand code MPI,1.6837500000000003e-05,2.887e-05,0.0,2.944e-05
metric_ITLB MPI,1.2129e-05,8.803700000000001e-05,4.3e-07,8.893e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,4.5000000000000006e-08,8.40000000000002e-08,0.0,3.5e-07
metric_DTLB 4KB page load MPI,2.8999999999999998e-08,6.05e-08,0.0,7e-08
metric_DTLB 2MB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,1.15e-08,2e-08,0.0,2e-08
metric_DTLB load miss latency (in core clks),279.50476490200003,922.1913839285002,62.37133717,1019.52142857
metric_DTLB store miss latency (in core clks),34.440261568,62.04552200750001,0.0,79.05938812
metric_ITLB miss latency (in core clks),29.535094436499996,39.8263751625,19.74601588,41.16469816
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),47.5439863375,56.415899838,40.97311005,56.42340062
metric_% Uops delivered from legacy decode pipeline (MITE),43.8444811275,47.8652300875,38.62173697,47.88764187
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),24.836736575,26.465680556000002,23.29267104,26.69637886
metric_TMA_....ICache_Misses(%),0.116409333,0.2117484025,0.00134285,0.21269655
metric_TMA_....ITLB_Misses(%),0.36022674899999996,0.6718907230000001,0.0045517,0.76350289
metric_TMA_....Branch_Resteers(%),0.26508617549999997,0.45481126800000005,0.02319515,0.47414886
metric_TMA_......Mispredicts_Resteers(%),0.228840396,0.37896418200000004,0.01269347,0.42223292
metric_TMA_......Clears_Resteers(%),0.02086421,0.039988785500000006,0.00195321,0.04218301
metric_TMA_......Unknown_Branches_Resteers(%),0.015383400999999996,0.038851859,0.00830367,0.04193288
metric_TMA_....MITE(%),14.555492277000003,15.053286508000001,13.92496447,15.05546197
metric_TMA_....DSB(%),3.3800808669999993,4.058848815,2.86624552,4.06150473
metric_TMA_Bad_Speculation(%),0.7149256035,1.2642951625,0.02071514,1.26918277
metric_TMA_..Branch_Mispredicts(%),0.6537653265000001,1.147310038,0.01786654,1.15404493
metric_TMA_..Machine_Clears(%),0.06116027749999999,0.12238242599999999,0.00054231,0.12533172
metric_TMA_Backend_Bound(%),2.1642184765,4.806308466500001,-2.39363564,4.85613362
metric_TMA_..Memory_Bound(%),0.713992016,1.5669454859999998,-0.59796014,1.57927622
metric_TMA_....L1_Bound(%),17.858719447000002,18.514595000999996,16.27275147,18.51514811
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.0052203295,0.012773359000000005,0.0,0.02061065
metric_TMA_....L2_Bound(%),0.3624018835,0.6685859375,0.00101415,0.71326154
metric_TMA_....L3_Bound(%),1.0014883925,1.9601162545000002,0.00157852,1.97551907
metric_TMA_....MEM_Bound(%),1.0230124595,1.817395938,0.00065247,1.84931343
metric_TMA_......MEM_Bandwidth(%),0.02176218,0.047913088,0.0,0.04818798
metric_TMA_......MEM_Latency(%),1.1110721775,2.02946947,0.00079595,2.08606762
metric_TMA_....Store_Bound(%),0.7417247575,1.3296690575,3.027e-05,1.3558303
metric_TMA_..Core_Bound(%),1.4502264605000001,3.2393629805,-1.7956755,3.2768574
metric_TMA_....Ports_Utilization(%),50.015798321,53.148093504,47.27867151,53.1689875
metric_TMA_......Ports_Utilized_3m(%),65.15473825800001,68.879831716,59.67371018,68.8818027
metric_TMA_Retiring(%),72.284119344,75.67839048449999,69.17143925,75.71351853
metric_TMA_..Light_Operations(%),61.92559924,67.93516505950001,57.49676219,67.97061715
metric_TMA_....FP_Arith(%),0.24394102700000003,0.288030647,0.20331791,0.29298408
metric_TMA_......FP_Scalar(%),0.1136681065,0.13588412249999998,0.09055499,0.1361914
metric_TMA_......FP_Vector(%),0.05640108050000001,0.06768312150000001,0.04502715,0.0678361
metric_TMA_..Heavy_Operations(%),10.358520104499998,12.4085445695,7.73581151,12.64892819
