time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.002180025,2.99999925,7.16260452,0.00507257,0.66658518,1.46164596,1.50018337,2.8e-07,6.429e-05,0.29217447,7.49e-06,1.447e-05,5.5e-07,2.5e-07,1e-08,6.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,363.82154341,0.0,23.90976709,0.0,0.0,56.40698927,38.63753293,100.0,0.0,0.0,24.46849988,0.00150003,0.00586396,0.04838807,0.03706899,0.00205987,0.00925752,15.03876271,4.05845617,0.03318929,0.0314421,0.00174719,-0.09287685,-0.02405191,18.46814677,0.0,0.0,0.00425722,0.00211906,0.00124028,0.0,0.00089079,0.00010429,-0.06882494,53.08213345,68.84166747,75.59118768,67.78458201,0.2033125,0.1356559,0.06756931,7.80660567
    10.003260229,3.00000011,7.17272837,0.00506359,0.65713508,1.45587644,1.52175714,2.25e-05,1.043e-05,0.2921185,1.299e-05,7.27e-06,8.4e-07,2.7e-07,0.0,3.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,271.65166667,50.04467354,20.70421955,0.0,0.0,56.36765711,38.67481676,100.0,0.0,0.0,24.35015459,0.00557487,0.00515237,0.02987126,0.01331623,0.00201936,0.01453853,15.03938706,4.06044267,0.02086756,0.01811977,0.00274779,0.02913292,0.00755146,18.48584734,0.0,0.03993098,0.00292157,0.00452835,0.00125159,0.0,0.00114324,3.892e-05,0.02158147,53.11819957,67.18145244,75.59984493,67.95025181,0.21253561,0.14344534,0.06900295,7.64959312
    15.004318793,3.00000017,7.17258302,0.00515536,0.65692031,1.48189272,1.52225466,2.8e-07,5.37e-06,0.29212259,3.646e-05,4.05e-06,2.4e-06,4e-07,0.0,5.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,550.47330961,0.0,22.97568897,0.0,0.0,56.38740029,38.6565585,100.0,0.0,0.0,24.35023267,0.00145648,0.00561786,0.02416736,0.01312151,0.00200868,0.00903699,15.03937961,4.0575907,0.02074846,0.01799391,0.00275455,0.02898914,0.00751331,18.48667675,0.0,0.0,0.0013774,0.00188132,0.00080467,0.0,0.00084066,4.29e-05,0.02147583,53.11635436,68.84484108,75.60002973,67.86186653,0.20339025,0.13570773,0.06759521,7.7381632
    20.005335795,3.00000037,7.1732047,0.00512699,0.65687098,1.47579478,1.52236897,2.8e-07,5.06e-06,0.2921225,1.447e-05,3.27e-06,9e-07,2.7e-07,1.6e-07,7.8e-07,0.0,1.7e-07,2e-08,0.0,0.0,0.0,35.56084587,137.93333333,23.63037907,0.0,0.0,56.40104467,38.63939007,100.0,0.0,0.0,24.33051393,0.00144804,0.00637143,0.02459199,0.01322137,0.00201493,0.00935506,15.04363391,4.05975491,0.020828,0.0180736,0.00275441,0.03689247,0.00956031,18.48284438,0.0,0.0,0.00142341,0.00205921,0.00074929,0.0,0.00081476,3.693e-05,0.02733216,53.11646341,68.86023758,75.6117656,67.87246399,0.20338142,0.1357018,0.06759228,7.73930161
    25.006326619,3.00000001,7.17289592,0.00524002,0.65680971,1.50851501,1.52251098,2.8e-07,6.39e-06,0.29212392,7.6e-06,3.34e-06,5.3e-07,2.4e-07,4e-08,6.4e-07,0.0,0.0,1e-08,0.0,0.0,0.0,474.43189369,0.0,22.57481154,0.0,0.0,56.36254283,38.68132406,100.0,0.0,0.0,24.33664742,0.00142917,0.00586728,0.02457255,0.01330956,0.00203134,0.00923168,15.03821755,4.06122044,0.02081174,0.01805599,0.00275575,0.05142286,0.0133258,18.48239001,0.0,0.0,0.00139253,0.00203231,0.0007767,0.0,0.00058553,4.245e-05,0.03809707,53.11507357,68.83233807,75.59111797,67.85449454,0.20339428,0.13571042,0.06759657,7.73662343
    30.007311791,2.99999899,7.1722019,0.00585161,0.69861745,1.80480403,1.43139854,2.8e-07,0.00254745,0.29212231,7.51e-06,3.18e-06,5.6e-07,2.4e-07,1.499e-05,5.8e-07,0.0,0.0,7e-08,2e-08,1.4e-07,0.0,378.95290859,0.0,22.65660517,0.0,0.0,49.1748119,42.97430609,100.0,0.0,0.0,24.32310311,0.00140823,0.27460432,0.02423348,0.01320379,0.00201104,0.00901839,14.67176376,3.47037278,0.02078715,0.01803958,0.00274756,0.04716298,0.01221715,18.48200061,0.0,0.0,0.00144971,0.00195875,0.00079457,0.0,0.00077353,3.473e-05,0.03494583,52.35896872,68.86636428,75.60894677,67.87024666,0.26078694,0.13568838,0.0675856,7.73870011
    35.008310430,3.00000127,7.17286746,0.00623264,0.78009805,2.1181143,1.28189015,0.0002044,0.00622001,0.29587036,0.00231041,0.00254494,0.00201886,0.00053313,2.51e-05,6.5e-07,0.0,9e-08,4e-08,0.0,0.0,2e-08,133.04369006,49.85188285,42.42962533,0.0,0.0,40.88804896,47.00716395,100.0,0.0,0.0,24.63764916,0.19510777,0.9177817,0.49637008,0.39612065,0.06026557,0.03998263,14.25564468,2.89245841,1.32212784,1.14754153,0.17458632,4.5909872,1.48169585,17.7411461,0.0,0.00901959,0.5760706,1.98662083,1.80357962,0.05015197,1.90602829,1.22795313,3.10929135,47.5101646,62.29997359,69.44923579,57.92662662,0.25778167,0.09269746,0.0460938,11.52260917
    40.009307827,2.99999993,7.17199076,0.02913239,0.78307383,1.09088567,1.27701879,0.00020614,0.00592458,0.29404378,0.0023022,0.00255817,0.00201315,0.00053561,2.512e-05,5.8e-07,0.0,3e-08,3e-08,0.0,0.0,1e-08,148.19551587,51.90125174,41.16284363,0.0,0.0,41.21399646,47.48364047,100.0,0.0,0.0,24.67234428,0.19276763,0.56258289,0.50452559,0.42355576,0.04085045,0.04012011,14.28442966,2.89259634,1.40585433,1.28219151,0.12366281,4.70409716,1.515445,17.75909624,0.0,0.00903578,0.58145281,1.98333679,1.75040387,0.04396319,1.85276441,1.21402444,3.18865216,47.53577897,62.3062756,69.21770423,57.66644314,0.25745602,0.09291882,0.04620417,11.55126109
    45.010285085,2.99999844,7.17281639,0.30480803,0.78339863,1.02423293,1.27648934,0.00020595,0.00593108,0.29399054,0.00230549,0.00256643,0.00201483,0.00053504,2.428e-05,4.7e-07,0.0,4e-08,3e-08,0.0,0.0,1e-08,146.83443953,46.6043956,44.61258163,0.0,0.0,41.37728985,47.66330479,100.0,0.0,0.0,24.70338728,0.19345216,0.42443909,0.50509443,0.42357965,0.04161754,0.03989589,14.29035673,2.89686817,1.40008885,1.2748339,0.12525496,4.59260208,1.47568389,17.6841538,0.0,0.00901155,0.58644185,1.98511576,1.75407709,0.04359314,1.83686932,1.20945954,3.1169182,47.58125377,62.31044774,69.30392178,57.73466023,0.25785731,0.09288764,0.04618878,11.56926155
    50.011268109,3.00000193,7.17282815,0.15287985,0.78308456,0.98465096,1.2770013,0.00020581,0.0058949,0.29401165,0.00230568,0.00258141,0.00200813,0.00053455,2.499e-05,6.6e-07,0.0,2e-08,2e-08,0.0,0.0,1e-08,187.08326418,53.87431694,39.33059363,0.0,0.0,38.68237322,50.23032698,100.0,0.0,0.0,24.67522668,0.20110954,0.43752833,0.51010804,0.42645571,0.04287292,0.04077786,14.28499262,2.90006238,1.41076633,1.28189359,0.12887274,4.69301547,1.50878375,17.75555662,0.0,0.00899271,0.58360078,1.98157801,1.71182591,0.04265601,1.83105059,1.20277584,3.18423171,47.54387763,62.30341181,69.22099152,57.67624688,0.25790482,0.09296257,0.04622602,11.54474464
