metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.000000076,3.0000006619999997,2.99999971,3.0000007
metric_CPU utilization %,7.171408796,7.172740689,7.15513103,7.17275207
metric_CPU utilization% in kernel mode,0.0059514189999999995,0.006679026500000002,0.00505004,0.00860043
metric_CPI,0.7241167070000001,0.7799456755,0.65687128,0.78119845
metric_kernel_CPI,1.821886917,2.1147049635,1.45612469,2.1428199
metric_IPC,1.3879961095,1.522336274,1.28008446,1.52236827
metric_locks retired per instr,0.0001241585,0.0004284175,2.8e-07,0.00048993
metric_L1D MPI (includes data+rfo w/ prefetches),0.0033037049999999997,0.005878252499999999,3.75e-06,0.00601928
metric_L1D demand data read hits per instr,0.2932746009999999,0.29526091149999995,0.29212312,0.29527652
metric_L1-I code read misses (w/ prefetches) per instr,0.001102628,0.0020546665,7.35e-06,0.00212015
metric_L2 demand data read hits per instr,0.0014546185,0.0025919650000000003,2.28e-06,0.00273114
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0011442260000000001,0.002038792,5.3e-07,0.00208405
metric_L2 demand data read MPI,0.0002868845,0.0005191785000000001,2.5e-07,0.00052599
metric_L2 demand code MPI,1.45385e-05,2.6380500000000003e-05,0.0,2.848e-05
metric_ITLB MPI,1.14425e-05,5.8682000000000046e-05,5.7e-07,0.00011021
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,5.4500000000000005e-08,1.8900000000000014e-07,0.0,3.6e-07
metric_DTLB 4KB page load MPI,3.05e-08,6.100000000000002e-08,0.0,8e-08
metric_DTLB 2MB large page load MPI,1.5000000000000002e-09,1.0500000000000006e-08,0.0,2e-08
metric_DTLB 1GB large page load MPI,1.5000000000000002e-09,1.0500000000000006e-08,0.0,2e-08
metric_DTLB store MPI,9.500000000000002e-09,2.0500000000000005e-08,0.0,3e-08
metric_DTLB load miss latency (in core clks),447.6096111624999,1526.2062500000002,38.13838854,1677.85
metric_DTLB store miss latency (in core clks),46.512641368,147.65000000000003,0.0,185.65
metric_ITLB miss latency (in core clks),29.857079979,37.8426914105,20.2279967,38.19435064
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),48.220273983,56.42478501400001,41.19086417,56.43053639
metric_% Uops delivered from legacy decode pipeline (MITE),43.0951425725,47.575059653,38.5464239,47.65651328
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),24.575227862000002,25.852508240000002,23.27849755,25.97595922
metric_TMA_....ICache_Misses(%),0.0939477775,0.1722448875,0.0013522,0.17574692
metric_TMA_....ITLB_Misses(%),0.24131692000000005,0.4315268915,0.00658076,0.45093219
metric_TMA_....Branch_Resteers(%),0.24598828500000006,0.39015413550000005,0.02443499,0.39817642
metric_TMA_......Mispredicts_Resteers(%),0.2060751555,0.32893780850000004,0.01295302,0.34239035
metric_TMA_......Clears_Resteers(%),0.0127051735,0.028271532000000002,0.00129155,0.0309424
metric_TMA_......Unknown_Branches_Resteers(%),0.0272086105,0.044353023000000005,0.00923467,0.05156434
metric_TMA_....MITE(%),14.455887049000001,15.0478070565,13.81819488,15.05239321
metric_TMA_....DSB(%),3.4285822665,4.058207058,2.88689364,4.0604304
metric_TMA_Bad_Speculation(%),0.6410733179999999,1.078148266,0.0206535,1.08361012
metric_TMA_..Branch_Mispredicts(%),0.6038974469999999,1.0270102,0.01794277,1.02848878
metric_TMA_..Machine_Clears(%),0.037175872,0.07956479600000001,0.00061225,0.09466003
metric_TMA_Backend_Bound(%),2.099124753,4.329364121499999,-1.66414131,5.05566423
metric_TMA_..Memory_Bound(%),0.6584483265000001,1.3757314325,-0.41973824,1.56826627
metric_TMA_....L1_Bound(%),17.789301165,18.472999243,16.16689546,18.47327879
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.005387529500000001,0.018103655000000003,0.0,0.02069231
metric_TMA_....L2_Bound(%),0.362622621,0.7030469865000001,0.00106581,0.73120492
metric_TMA_....L3_Bound(%),1.026009641,2.156601751,0.00178746,2.17940994
metric_TMA_....MEM_Bound(%),0.7814848594999999,1.7113557535000001,0.00084979,1.90284333
metric_TMA_......MEM_Bandwidth(%),0.012476863500000001,0.0391724565,0.0,0.04179078
metric_TMA_......MEM_Latency(%),0.8598048939999998,1.878006437,0.00085183,1.96935648
metric_TMA_....Store_Bound(%),0.646403016,1.2258761985,1.797e-05,1.240669
metric_TMA_..Core_Bound(%),1.4406764265,2.953632689,-1.24440308,3.48739796
metric_TMA_....Ports_Utilization(%),50.30439447149999,53.19489636,48.00129712,53.46076678
metric_TMA_......Ports_Utilized_3m(%),65.611952117,68.896986579,60.22968806,68.91618112
metric_TMA_Retiring(%),72.684574064,75.66887683050001,69.53261892,75.80362218
metric_TMA_..Light_Operations(%),62.2508905385,67.88895494949999,57.74234808,67.9184551
metric_TMA_....FP_Arith(%),0.2456204855,0.2874681035,0.20288937,0.28920496
metric_TMA_......FP_Scalar(%),0.1133165755,0.1357854695,0.09174632,0.13593917
metric_TMA_......FP_Vector(%),0.0563204975,0.0676340295,0.04561942,0.06771059
metric_TMA_..Heavy_Operations(%),10.433683527,12.358699227,7.73577925,12.59624952
