time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.002159963,2.99999997,7.1670012,0.00508486,0.66002903,1.47707425,1.51508487,2.8e-07,1.95e-05,0.29234458,7.92e-06,2.52e-06,5.3e-07,2.6e-07,0.0,5.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,284.99800797,0.0,23.03808354,0.0,0.0,56.41009131,38.63165373,100.0,0.0,0.0,24.3631035,0.00159621,0.00601047,0.0965637,0.08467822,0.00247196,0.00940644,15.03413263,4.05842068,0.02155764,0.02094617,0.00061147,0.01864211,0.00482808,18.47231318,0.0,0.0,0.00109023,0.00196774,0.00068714,0.0,0.00079183,6.738e-05,0.01381403,53.12805203,68.85173808,75.59669676,67.86098035,0.20319626,0.13557925,0.06753107,7.73571641
    10.003212607,3.00000005,7.17264999,0.00519468,0.65690378,1.5040501,1.52229297,2.8e-07,3.8e-06,0.29225803,7.54e-06,2.37e-06,5.4e-07,2.6e-07,0.0,6.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,310.01515152,105.32,21.76001874,0.0,0.0,56.40249707,38.63876815,100.0,0.0,0.0,24.34282113,0.00140314,0.00598449,0.06959284,0.05771909,0.00225071,0.0096183,15.04312819,4.05199697,0.10019572,0.0964353,0.00376042,0.02718523,0.00704088,18.46740253,0.0,0.0,0.00106513,0.00195795,0.00081084,0.0,0.00088536,5.445e-05,0.02014435,53.11304792,68.86663785,75.52979792,67.14912984,0.2035503,0.13581533,0.06764896,8.38066808
    15.004193772,2.99999935,7.17248601,0.00507755,0.65698116,1.47519082,1.52211366,2.8e-07,4.59e-06,0.29212421,7.65e-06,3.47e-06,5.2e-07,2.6e-07,0.0,7.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,372.05817175,192.66666667,21.61177595,0.0,0.0,56.39215001,38.65204729,100.0,0.0,0.0,24.32967891,0.00143612,0.00640759,0.02504295,0.01345567,0.00197371,0.00961334,15.04350821,4.05441259,0.30513151,0.2660995,0.03903201,0.02224842,0.00576674,18.46676696,0.0,0.0,0.00109393,0.00169919,0.00075939,0.0,0.00090257,3.5e-05,0.01648168,53.0560969,68.87419659,75.34294116,65.26069965,0.20410198,0.13618392,0.06783243,10.08224151
    20.005169261,3.00000052,7.17287552,0.00520008,0.65669364,1.50845321,1.52278009,2.8e-07,3.76e-06,0.29212322,8.04e-06,2.41e-06,7.8e-07,2.9e-07,4e-08,7.5e-07,0.0,4e-08,1.2e-07,3e-08,2e-08,0.0,57.19561055,202.85,21.99314068,0.0,0.0,56.43308431,38.61058993,100.0,0.0,0.0,25.4286045,0.00139738,0.007057,0.02490604,0.01324189,0.00202092,0.00964256,15.04151786,4.05829969,0.10872829,0.09433178,0.01439652,-1.09339307,-0.27828674,18.26177099,0.0,0.0,0.00109709,0.00210994,0.00072103,0.0,0.00089142,3.153e-05,-0.81510633,53.15202371,68.9158072,75.55606028,67.08621497,0.20368143,0.13590304,0.06769252,8.46984531
    25.006133120,2.99999989,7.17250722,0.00523434,0.65684129,1.51081697,1.52243778,2.8e-07,3.79e-06,0.29212343,7.8e-06,2.46e-06,5.4e-07,2.5e-07,0.0,6.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,371.56926407,189.24,21.59230197,0.0,0.0,56.39614395,38.64640429,100.0,0.0,0.0,26.6664185,0.00143634,0.00698959,0.02478491,0.01324412,0.0020177,0.00952319,15.05730614,4.06162408,0.02083983,0.01808469,0.00275514,-2.35818936,-0.58781252,18.01305532,0.0,0.0,0.00109557,0.00197499,0.00078517,0.0,0.00076566,3.07e-05,-1.77037683,53.19466125,68.93879604,75.67093102,67.92425871,0.20341518,0.13572524,0.06760395,7.74667231
    30.007034853,2.9999987,7.17227498,0.00565063,0.68606359,1.71896832,1.45759084,2.8e-07,0.00175714,0.29212363,0.00039878,2.38e-06,0.00038781,0.00010105,9.45e-06,7.3e-07,0.0,0.0,2e-08,0.0,0.0,0.0,286.61678005,215.10714286,21.75869767,0.0,0.0,50.78383427,42.03111193,100.0,0.0,0.0,27.26805933,0.00142043,0.18594828,0.02461412,0.01320967,0.00203193,0.00937227,14.50005031,3.6035751,0.02065904,0.01790488,0.00275416,-2.99964512,-0.75108347,17.92465715,0.0,0.0,0.00110584,0.00197317,0.00072016,0.0,0.00083415,0.00016175,-2.24856166,52.56345774,68.9652928,75.71092675,67.96385498,0.2680075,0.13572869,0.06760582,7.74707177
    35.007998471,3.00000146,7.17300535,0.00625653,0.7431765,1.96950532,1.34557537,5.28e-06,0.00514731,0.29561037,0.0014922,0.00225294,0.00182104,0.00042621,2.787e-05,6.9e-07,0.0,4e-08,4e-08,0.0,0.0,1e-08,135.17756347,53.12131464,43.13857571,0.0,0.0,44.17557363,44.80253545,100.0,0.0,0.0,23.4401638,0.14880474,0.36495657,0.34038641,0.28284556,0.01459413,0.04294528,13.96128282,3.14268804,0.7788558,0.74064058,0.03821522,2.33229043,0.65010196,16.22905709,0.0,0.00013371,0.67448518,0.82307215,1.07426537,0.00761002,1.37775155,0.77715236,1.68218847,50.2844515,66.35266299,73.44868997,60.89350286,0.29000539,0.10972769,0.05461203,12.55518711
    40.008961701,2.99999996,7.17169145,0.00633632,0.76751638,2.09574252,1.30290379,0.00021962,0.00552248,0.2944091,0.00226405,0.00248511,0.00211921,0.00054659,2.567e-05,6.3e-07,0.0,5e-08,5e-08,0.0,0.0,2e-08,114.63886984,43.46830266,46.25545872,0.0,0.0,43.25186967,45.92157965,100.0,0.0,0.0,24.6084241,0.18784684,0.42898996,0.44242297,0.36368501,0.04024981,0.0384894,13.93163676,3.00997569,1.22497442,1.10291269,0.12206173,5.11714167,1.67141267,17.50762138,0.0,0.01020348,0.56621541,1.982897,2.01748289,0.06658745,2.13625752,1.40539535,3.44572901,47.00134226,62.03873811,69.04945981,57.55393842,0.25044526,0.09278803,0.04613821,11.49552139
    45.009916433,2.99999881,7.17245647,0.00628755,0.78329598,2.15068786,1.27665662,0.00020416,0.00592578,0.29361105,0.00228457,0.00242408,0.00211034,0.00054253,2.464e-05,7.1e-07,0.0,3e-08,4e-08,0.0,0.0,1e-08,120.20806242,46.61402624,42.35780205,0.0,0.0,41.3617082,47.73508891,100.0,0.0,0.0,24.62568422,0.18147751,0.43665855,0.45234217,0.37768416,0.03634554,0.03831125,14.26924429,2.88139999,1.23997554,1.13112445,0.10885108,5.03991653,1.63941051,18.01148881,0.0,0.00884444,0.51836811,1.79379237,1.79301131,0.06338432,2.13250274,1.51301304,3.40050602,47.2776324,62.03261705,69.09442372,57.61688438,0.25482887,0.09245888,0.04597406,11.47753934
    50.010873160,3.00000142,7.17301441,0.00610266,0.78355875,2.1006343,1.27622849,0.000192,0.00594217,0.2934907,0.00229661,0.00257648,0.00209419,0.00054269,2.456e-05,6.5e-07,0.0,3e-08,2e-08,0.0,0.0,1e-08,135.00251199,51.90042076,45.02589531,0.0,0.0,41.28323958,47.79009718,100.0,0.0,0.0,24.68194752,0.17964966,0.43918785,0.46333901,0.39384536,0.0307389,0.03875348,14.27780325,2.88346314,1.28667425,1.19352206,0.09315219,4.88739971,1.5840996,17.92201559,0.0,0.00844621,0.53683135,1.8583918,1.72796338,0.0405296,1.93142651,1.49232304,3.30330011,47.36463772,62.13608314,69.14397852,57.65884079,0.25536042,0.09213733,0.04581353,11.48513773
