metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.0000001165000003,3.0000006205,2.99999968,3.00000158
metric_CPU utilization %,7.1713759905000005,7.172612987,7.15697386,7.17270394
metric_CPU utilization% in kernel mode,0.007652162,0.008287215000000021,0.00502379,0.03747093
metric_CPI,0.7575398685,0.824904922,0.65658811,0.82575787
metric_kernel_CPI,2.0275509819999997,2.542104547,1.0825387,2.55044055
metric_IPC,1.3343139270000002,1.5228482630000002,1.21100874,1.52302483
metric_locks retired per instr,3.0519e-05,0.0001021175000000002,2.8e-07,0.00035078
metric_L1D MPI (includes data+rfo w/ prefetches),0.0080945395,0.013627804,4.01e-06,0.01363833
metric_L1D demand data read hits per instr,0.295753661,0.2982065225,0.29212362,0.29820866
metric_L1-I code read misses (w/ prefetches) per instr,0.0026313910000000003,0.0044114085,7.65e-06,0.00441518
metric_L2 demand data read hits per instr,0.0037475310000000006,0.00633725,2.56e-06,0.00633744
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0021845174999999997,0.003671941,4.8e-07,0.00367443
metric_L2 demand data read MPI,0.0006430450000000001,0.0010794164999999999,2.5e-07,0.00108049
metric_L2 demand code MPI,2.4367e-05,4.11755e-05,0.0,4.128e-05
metric_ITLB MPI,4.5225e-06,1.4333000000000042e-05,4.2e-07,6.949e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,6.549999999999998e-08,1.0950000000000027e-07,0.0,4.8e-07
metric_DTLB 4KB page load MPI,4.8500000000000004e-08,8.250000000000003e-08,0.0,1.3e-07
metric_DTLB 2MB large page load MPI,1.4999999999999998e-09,1.500000000000021e-09,0.0,3e-08
metric_DTLB 1GB large page load MPI,5e-10,5.000000000000072e-10,0.0,1e-08
metric_DTLB store MPI,1.2000000000000002e-08,2e-08,0.0,2e-08
metric_DTLB load miss latency (in core clks),590.4749769205,2328.227500003,72.28301567,2638.13333333
metric_DTLB store miss latency (in core clks),61.884167253499996,100.29953476500009,0.0,221.95
metric_ITLB miss latency (in core clks),37.118849832500004,54.503014351,19.87802595,56.823518
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),41.554202215,56.696529977000004,31.23153003,56.71798586
metric_% Uops delivered from legacy decode pipeline (MITE),49.601287998,57.061381219,38.32927199,57.24561679
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),24.534290629,26.396181406000004,23.83184652,28.78060153
metric_TMA_....ICache_Misses(%),0.20050723,0.337583583,0.00138657,0.33809683
metric_TMA_....ITLB_Misses(%),0.541352464,0.928155909,0.00509252,0.93298284
metric_TMA_....Branch_Resteers(%),0.4088685115,0.670536293,0.02449258,0.6847512
metric_TMA_......Mispredicts_Resteers(%),0.3218135445,0.525470905,0.0128509,0.55053827
metric_TMA_......Clears_Resteers(%),0.024030808,0.0403840905,0.00199174,0.04085511
metric_TMA_......Unknown_Branches_Resteers(%),0.06302622649999999,0.10450362800000002,0.00902401,0.11321034
metric_TMA_....MITE(%),15.1734730735,15.277749388500002,15.00590572,15.39555791
metric_TMA_....DSB(%),2.9035047300000003,4.073726165,2.12468804,4.08005022
metric_TMA_Bad_Speculation(%),0.8266448350000001,1.3383344225,0.02081104,1.3752547
metric_TMA_..Branch_Mispredicts(%),0.768593877,1.2521303325,0.01794682,1.26588182
metric_TMA_..Machine_Clears(%),0.058050957,0.09738792700000001,0.00054889,0.10937288
metric_TMA_Backend_Bound(%),3.7831820154999996,7.1884792765,-4.56146987,7.2137513
metric_TMA_..Memory_Bound(%),1.318541493,2.455329146,-1.09824103,2.46470595
metric_TMA_....L1_Bound(%),16.503507579,18.461870282999996,14.55671829,18.46394115
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.0018163970000000002,0.00601348050000001,0.0,0.02035108
metric_TMA_....L2_Bound(%),1.0609837450000001,1.7769453715,0.00113442,1.77769172
metric_TMA_....L3_Bound(%),1.4797662845,2.475690534,0.0016761,2.49534079
metric_TMA_....MEM_Bound(%),1.7772953589999996,2.9933273255,0.00075975,3.10811859
metric_TMA_......MEM_Bandwidth(%),0.004264817999999999,0.00751089,0.0,0.00804973
metric_TMA_......MEM_Latency(%),1.9413256715,3.3061419185000003,0.00072816,3.38906986
metric_TMA_....Store_Bound(%),1.203755965,2.0224121370000003,2.727e-05,2.02257586
metric_TMA_..Core_Bound(%),2.4646405225000003,4.7331501215000005,-3.46322884,4.74904536
metric_TMA_....Ports_Utilization(%),48.413660428499995,53.191751642499995,45.17805881,53.29073732
metric_TMA_......Ports_Utilized_3m(%),64.22923456050002,68.931147647,60.79931321,69.0240251
metric_TMA_Retiring(%),70.85588252049999,75.63658686350001,67.55187548,75.76005729
metric_TMA_..Light_Operations(%),60.19287233949999,67.8951730165,55.26738117,68.0056665
metric_TMA_....FP_Arith(%),0.22475745549999998,0.27619518000000004,0.1617247,0.2794438
metric_TMA_......FP_Scalar(%),0.096244311,0.13597134900000002,0.06441725,0.13598615
metric_TMA_......FP_Vector(%),0.04721675000000001,0.0677265445,0.03196434,0.06773385
metric_TMA_..Heavy_Operations(%),10.663010181500002,12.443824132000001,7.73350755,12.95173635
