time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.002239641,3.00000158,7.15697386,0.0051934,0.67799445,1.51011476,1.47493832,2.8e-07,9.102e-05,0.29213221,7.71e-06,2.66e-06,4.8e-07,2.5e-07,0.0,6.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,818.205,0.0,21.71127502,0.0,0.0,56.37635236,38.66453678,100.0,0.0,0.0,24.33073579,0.00167064,0.00609747,0.02787032,0.01622529,0.0020636,0.00957997,15.03694995,4.05872433,0.02092423,0.01856328,0.00236095,0.03388369,0.00876905,18.45841492,0.0,0.0,0.00115118,0.00182273,0.00087806,0.0,0.00143958,3.258e-05,0.02511464,53.14301858,68.83102335,75.61445629,67.88094873,0.20331699,0.13565886,0.06757082,7.73350755
    10.003298793,3.00000007,7.17270394,0.00670912,0.65693154,1.58018881,1.52222863,2.9e-07,4.01e-06,0.29235778,7.65e-06,2.72e-06,5.5e-07,2.5e-07,0.0,6.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,1125.93125,0.0,21.81282253,0.0,0.0,56.40733866,38.6347229,100.0,0.0,0.0,24.3163985,0.00138857,0.00609552,0.11026629,0.09821818,0.00264994,0.00938931,15.0346937,4.05688017,0.02089324,0.02034435,0.00054889,0.06033232,0.01561113,18.45630564,0.0,0.0,0.00115767,0.0016761,0.00075975,0.0,0.00105279,2.878e-05,0.04472118,53.15040284,68.88770835,75.60237594,67.86274558,0.20348575,0.13577141,0.06762703,7.73963036
    15.004294289,3.00000004,7.17257617,0.00527006,0.65671142,1.51748008,1.52273886,2.8e-07,4.77e-06,0.29228127,8.09e-06,3.46e-06,5.6e-07,2.6e-07,0.0,6.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,570.06049822,0.0,21.81865623,0.0,0.0,56.39899884,38.64304554,100.0,0.0,0.0,24.34402815,0.00140569,0.00622595,0.07566052,0.06403629,0.00234943,0.00926906,15.0405781,4.05752074,0.22916852,0.2210581,0.00811041,-0.01007864,-0.0026104,18.46394115,0.0,0.0,0.0011819,0.0018491,0.00090276,0.0,0.00072816,3.237e-05,-0.00746824,53.10303624,68.87797671,75.43688197,65.96751463,0.20380711,0.13598615,0.06773385,9.46936735
    20.005284112,2.99999968,7.1726082,0.00502379,0.65666825,1.4573419,1.52283897,2.8e-07,4.06e-06,0.29212427,7.72e-06,2.68e-06,5.1e-07,2.5e-07,0.0,6.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,735.81742739,84.42911877,21.91727534,0.0,0.0,56.42156366,38.62039989,100.0,0.0,0.0,24.33121574,0.00139503,0.0060422,0.0245573,0.0131536,0.00200295,0.0094012,15.04339008,4.05741511,0.16960768,0.14719388,0.0224138,0.03395299,0.00879158,18.45570173,0.0,0.0,0.00113442,0.00184204,0.00086955,0.0,0.00085691,2.865e-05,0.02516141,53.09640482,68.87442332,75.46522359,66.47813666,0.20378388,0.13597057,0.06772616,8.98708693
    25.006253865,3.00000014,7.17256894,0.00517527,0.65689739,1.49999724,1.52230778,2.8e-07,4.07e-06,0.29212362,8.27e-06,2.56e-06,5.8e-07,2.5e-07,0.0,6.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,2638.13333333,0.0,21.63598863,0.0,0.0,56.4035465,38.63680567,100.0,0.0,0.0,25.88119995,0.00140008,0.00616631,0.02465068,0.01318065,0.00200478,0.00946521,15.04816183,4.05807092,0.07655104,0.06644476,0.01010628,-1.57330438,-0.39695363,18.15220196,0.0,0.0,0.00115899,0.00181121,0.00088024,0.0,0.00095146,2.778e-05,-1.17635075,53.18654187,68.92625936,75.61555339,67.40254023,0.20352467,0.13579738,0.06763997,8.21301315
    30.007233389,3.00000025,7.17227843,0.00603938,0.73228648,1.98735228,1.36558578,2.8e-07,0.00603596,0.29236571,7.83e-06,2.6e-06,5.5e-07,2.5e-07,1.858e-05,6.3e-07,0.0,0.0,1.3e-07,3e-08,1e-08,0.0,835.9,0.0,21.77483558,0.0,0.0,44.56369781,47.36573276,100.0,0.0,0.0,28.78060153,0.00141901,0.44779703,0.05088821,0.03610133,0.00576159,0.00902401,15.11859542,3.097666,0.02081104,0.01794682,0.00286422,-4.56146987,-1.09824103,17.61223435,0.0,0.0,0.00117044,0.00183942,0.00077766,0.0,0.00086976,2.727e-05,-3.46322884,53.29073732,69.0240251,75.76005729,68.0056665,0.2760242,0.13569726,0.06758995,7.75439079
    35.008234968,2.99999996,7.17245288,0.00671481,0.82575787,2.55044055,1.21100874,1.689e-05,0.01363833,0.29820866,0.00440936,0.00605416,0.00367181,0.00108049,4.092e-05,4.4e-07,0.0,8e-08,8e-08,0.0,0.0,2e-08,200.74252854,67.9487909,53.54892793,0.0,0.0,31.49350137,57.04598038,100.0,0.0,0.0,24.52338087,0.33499929,0.85657153,0.65025893,0.51517966,0.03776671,0.0973226,15.23781945,2.12468804,1.32234449,1.23202724,0.09031725,6.60239916,2.24343991,15.1220959,0.0,0.00102125,1.76379672,2.47125875,3.10811859,0.00804973,3.38906986,2.02257586,4.35895925,45.17805881,61.0666296,67.55187548,55.29897035,0.23296577,0.06518807,0.03234746,12.25290513
    40.009212787,3.00000032,7.17144744,0.00657306,0.82481026,2.49915327,1.21240005,1.679e-05,0.01362725,0.29820512,0.00441518,0.00588353,0.00367443,0.00107864,4.106e-05,4.3e-07,0.0,8e-08,7e-08,0.0,0.0,2e-08,152.36769128,74.5741404,52.96432507,0.0,0.0,31.50173931,57.037785,100.0,0.0,0.0,23.83184652,0.33550815,0.86257995,0.64908112,0.51543339,0.03698374,0.09666467,15.26020207,2.12589196,1.32590972,1.23714147,0.08876825,7.2137513,2.46470595,15.37251155,0.0,0.00100198,1.77183767,2.4639968,2.98728568,0.00748253,3.30177729,2.02240352,4.74904536,45.31634996,61.11278698,67.62849246,55.37821407,0.23282845,0.06502085,0.03226422,12.25027839
    45.010183992,2.99999993,7.1725005,0.00675123,0.8242127,2.54166581,1.21327904,1.686e-05,0.01361743,0.29818704,0.00439851,0.00602595,0.00366544,0.00107766,4.075e-05,6.949e-05,0.0,7e-08,7e-08,0.0,0.0,2e-08,107.86497264,68.68598862,19.87802595,0.0,0.0,31.48920809,57.05168461,100.0,0.0,0.0,23.84359986,0.33623487,0.8634744,0.64909945,0.51679986,0.03521883,0.09707414,15.26126429,2.13057652,1.32494902,1.24041718,0.08453184,7.18075549,2.4505938,15.52390439,0.0,0.00098824,1.73455226,2.40967174,2.95220926,0.00712083,3.25255909,1.99271224,4.73016168,45.35982229,61.11706374,67.65069563,55.39977682,0.23285167,0.06503005,0.03226893,12.25091882
    50.011137325,2.99999984,7.17251368,0.00648244,0.82449469,2.46373952,1.21286409,1.682e-05,0.01361275,0.29819684,0.00440431,0.00633724,0.0036632,0.00107874,4.117e-05,1.143e-05,0.0,9e-08,7e-08,0.0,0.0,2e-08,240.13902782,76.00516203,21.05584488,0.0,0.0,31.53319279,57.01482382,100.0,0.0,0.0,23.87620218,0.3365597,0.91736924,0.66978814,0.51632338,0.0403593,0.11321034,15.2590776,2.13114391,1.32722438,1.23100107,0.09622331,7.18714917,2.45483563,15.40570498,0.0,0.00170608,1.76624951,2.4663604,2.9669279,0.00722294,3.24231733,2.00733307,4.73231353,45.34832866,61.13252526,67.60942428,55.35938098,0.23309408,0.06507246,0.03228999,12.25004329
