metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.9999999004999998,3.0000007035,2.99999912,3.00000077
metric_CPU utilization %,7.172753365000001,7.173336906,7.16851377,7.17379112
metric_CPU utilization% in kernel mode,0.0053524125,0.005546388000000002,0.00500304,0.0079755
metric_CPI,0.6759124925,0.688755747,0.65678748,0.68882542
metric_kernel_CPI,1.5706523235000003,1.63971023,1.45094209,1.65725502
metric_IPC,1.4801915355,1.522267697,1.45174666,1.52256252
metric_locks retired per instr,1.7813e-05,4.727000000000019e-05,2.8e-07,0.00029845
metric_L1D MPI (includes data+rfo w/ prefetches),0.001277042,0.0021394499999999998,3.55e-06,0.00214002
metric_L1D demand data read hits per instr,0.29260487949999997,0.2928853495,0.29212383,0.2928861
metric_L1-I code read misses (w/ prefetches) per instr,0.0005023709999999999,0.0008527049999999999,7.67e-06,0.00085698
metric_L2 demand data read hits per instr,0.000653339,0.001096597,2.23e-06,0.00109692
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00030236849999999997,0.0005094139999999999,4.7e-07,0.00050949
metric_L2 demand data read MPI,7.379900000000002e-05,0.000124612,2.4e-07,0.00012465
metric_L2 demand code MPI,4.641500000000001e-06,7.9555e-06,0.0,8.06e-06
metric_ITLB MPI,1.7465000000000003e-06,1.7780000000000184e-06,4e-07,2.644e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,5.5000000000000004e-09,1e-08,0.0,1e-08
metric_DTLB 4KB page load MPI,6.000000000000001e-09,1e-08,0.0,1e-08
metric_DTLB 2MB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,0.0,0.0,0.0,0.0
metric_DTLB load miss latency (in core clks),525.3107962015,1112.6906250000022,178.03147877,4116.175
metric_DTLB store miss latency (in core clks),145.1369677705,459.0970833335001,0.0,565.91666667
metric_ITLB miss latency (in core clks),25.957866935500004,29.3377870225,20.25185995,29.65880499
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),52.33194271299999,56.4029706525,49.67453208,56.41029824
metric_% Uops delivered from legacy decode pipeline (MITE),41.24322517750001,43.03218283099999,38.08808736,43.03957708
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),24.7820819015,25.874160319,24.31782364,26.72664736
metric_TMA_....ICache_Misses(%),0.04973994799999999,0.08353522649999999,0.00137308,0.08437154
metric_TMA_....ITLB_Misses(%),0.181661332,0.30891987600000015,0.00443609,0.43830068
metric_TMA_....Branch_Resteers(%),0.232096006,0.3588059355,0.02401104,0.35993711
metric_TMA_......Mispredicts_Resteers(%),0.0577549405,0.088034736,0.01338404,0.09813563
metric_TMA_......Clears_Resteers(%),0.005074871,0.007528071,0.00197744,0.00763753
metric_TMA_......Unknown_Branches_Resteers(%),0.1692750405,0.27891576449999994,0.00832499,0.27990461
metric_TMA_....MITE(%),15.131201619499995,15.1997889575,15.03665428,15.20044004
metric_TMA_....DSB(%),3.7493257310000003,4.0601346255,3.5391708,4.06411846
metric_TMA_Bad_Speculation(%),0.130267461,0.1778087405000001,0.02103649,0.28937124
metric_TMA_..Branch_Mispredicts(%),0.11861964500000002,0.16049051900000008,0.01833018,0.26730128
metric_TMA_..Machine_Clears(%),0.011647815499999999,0.021695622,0.0005472,0.02206996
metric_TMA_Backend_Bound(%),0.01634874799999999,0.36438808500000003,-2.43323766,0.36650668
metric_TMA_..Memory_Bound(%),0.006140426,0.0957227095,-0.60667398,0.09748115
metric_TMA_....L1_Bound(%),18.09660365,18.48411473,17.88124395,18.48544245
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.00011605750000000001,0.0003182405000000012,0.0,0.00194161
metric_TMA_....L2_Bound(%),0.239695248,0.40777758750000004,0.001036,0.40796374
metric_TMA_....L3_Bound(%),0.13138296900000002,0.222720812,0.00163938,0.22372443
metric_TMA_....MEM_Bound(%),0.020897209999999996,0.04059756050000001,0.00069978,0.05145227
metric_TMA_......MEM_Bandwidth(%),3.735e-07,3.735000000000053e-07,0.0,7.47e-06
metric_TMA_......MEM_Latency(%),0.023321528499999997,0.05146859350000001,0.0007861,0.05828225
metric_TMA_....Store_Bound(%),0.052532778999999995,0.09086807250000001,3.003e-05,0.09243049
metric_TMA_..Core_Bound(%),0.010208322999999988,0.26902721250000006,-1.82656368,0.26905918
metric_TMA_....Ports_Utilization(%),52.7301982865,53.117379248000006,51.6703712,53.18840083
metric_TMA_......Ports_Utilized_3m(%),68.0938709505,68.8783133085,66.43047369,68.89096082
metric_TMA_Retiring(%),75.07130188900001,75.65240166,74.70340489,75.68555381
metric_TMA_..Light_Operations(%),66.02480384,67.9087540875,65.06877619,67.94082946
metric_TMA_....FP_Arith(%),0.22324127349999995,0.24169800500000002,0.20326793,0.24556593
metric_TMA_......FP_Scalar(%),0.12657083949999998,0.1359753715,0.11917399,0.13608123
metric_TMA_......FP_Vector(%),0.0628245825,0.06772850350000001,0.05933425,0.0677812
metric_TMA_..Heavy_Operations(%),9.046498048999998,9.65707586,7.73832898,9.9615748
