time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.002221727,2.9999996,7.16851377,0.0079755,0.65902582,1.60350477,1.51739122,2.8e-07,1.489e-05,0.29235607,7.92e-06,2.24e-06,5e-07,2.5e-07,0.0,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,386.7804428,0.0,22.74913825,0.0,0.0,56.34740012,38.69355482,100.0,0.0,0.0,24.33773056,0.00141126,0.00443609,0.09948532,0.08750311,0.00245824,0.00951631,15.03665428,4.05815073,0.02142398,0.02083856,0.00058542,0.03796312,0.00983904,18.48404485,0.0,0.0,0.00107066,0.00181548,0.00099909,0.0,0.0008056,0.00014838,0.02812408,53.11208874,68.83398528,75.60288235,67.86444844,0.20337076,0.13569471,0.06758874,7.7384339
    10.003280740,2.99999995,7.17306423,0.00515012,0.65692138,1.49403272,1.52225218,2.9e-07,5.1e-06,0.29236023,7.83e-06,2.3e-06,5.2e-07,2.6e-07,0.0,4.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,553.27102804,43.82258065,22.77394218,0.0,0.0,56.41029824,38.63032106,100.0,0.0,0.0,24.34789159,0.00137308,0.00625887,0.10907058,0.09813563,0.00254316,0.00838381,15.03975682,4.05794871,0.02166267,0.02111546,0.0005472,0.04447551,0.01152633,18.48324564,0.0,0.0,0.00107243,0.00175728,0.00087331,0.0,0.00079592,3.582e-05,0.03294918,53.11282263,68.85949365,75.58597023,67.84652756,0.20339259,0.13570927,0.06759604,7.73944267
    15.004306458,2.99999932,7.17250462,0.00500304,0.65698906,1.45094209,1.52209536,2.8e-07,4.64e-06,0.29215876,8.41e-06,2.23e-06,1.23e-06,4.3e-07,1e-08,4.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,4116.175,0.0,22.96200201,0.0,0.0,56.37935405,38.66401838,100.0,0.0,0.0,24.34624487,0.00138581,0.0045177,0.03591714,0.02467802,0.00203756,0.00919997,15.0373833,4.05992495,0.28937124,0.26730128,0.02206996,-0.02865166,-0.00743302,18.48544245,0.0,0.0,0.001036,0.00164123,0.00085246,0.0,0.00081199,3.003e-05,-0.02121864,53.04299819,68.85005919,75.39303555,65.43146075,0.20394952,0.13608123,0.0677812,9.9615748
    20.005265817,3.00000039,7.17322678,0.00501015,0.65678748,1.45674783,1.52256252,2.9e-07,3.55e-06,0.29212558,8.33e-06,2.3e-06,1.13e-06,4.1e-07,1e-08,4.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,486.11876485,0.0,22.48158828,0.0,0.0,56.32974709,38.71162654,100.0,0.0,0.0,24.37214489,0.00141916,0.00477999,0.02401104,0.01370792,0.00197744,0.00832499,15.04121107,4.05706481,0.17193703,0.15026111,0.02167592,0.00587175,0.00152196,18.4784212,0.0,0.0,0.00112406,0.00174613,0.00082162,0.0,0.0007861,3.212e-05,0.0043498,53.07675805,68.82668797,75.45004633,66.464894,0.20378266,0.1359698,0.06772573,8.98515233
    25.006248993,2.99999993,7.17309612,0.00503768,0.65697279,1.46152081,1.52213307,2.8e-07,3.65e-06,0.29212453,7.67e-06,2.27e-06,4.8e-07,2.4e-07,2e-08,4.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,505.20498615,0.0,22.82878803,0.0,0.0,56.40258499,38.64317657,100.0,0.0,0.0,26.72664736,0.00141006,0.00473564,0.02467115,0.01348922,0.00199158,0.00919062,15.05706638,4.06411846,0.02103649,0.01833018,0.00270631,-2.43323766,-0.60667398,18.0199768,0.0,1e-08,0.00117107,0.00403619,0.00099835,0.0,0.00083746,4.085e-05,-1.82656368,53.18840083,68.89096082,75.68555381,67.94082946,0.20331007,0.13565414,0.06756852,7.74472435
    30.007196676,2.99999912,7.17241647,0.00519216,0.66444294,1.54684802,1.50502013,2.8e-07,0.00049882,0.29212509,0.00039021,2.31e-06,0.00024952,6.089e-05,3.77e-06,4.4e-07,0.0,0.0,1e-08,0.0,0.0,0.0,395.53256705,0.0,22.82046601,0.0,0.0,53.10002727,40.78113515,100.0,0.0,0.0,25.82929258,0.02174634,0.1357814,0.0248966,0.01363251,0.00197821,0.00928541,15.11848727,3.80571603,0.02120042,0.01851388,0.00268654,-1.50114982,-0.38872256,18.19028246,0.0,0.0,0.00104836,0.00183293,0.00090503,0.0,0.00086102,0.00018304,-1.11242726,51.98290765,68.87764765,75.65065681,67.90706591,0.2263041,0.13209584,0.06579107,7.7435909
    35.008192626,3.00000048,7.173313,0.0052903,0.68882542,1.62581846,1.45174666,2.15e-06,0.00213541,0.29288072,0.00084928,0.00109039,0.00050891,0.0001241,7.67e-06,4.8e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,189.84978166,150.06,29.65880499,0.0,0.0,49.77670533,42.9324844,100.0,0.0,0.0,24.73953487,0.08349121,0.29221113,0.35415338,0.0734985,0.00742857,0.27321071,15.16649425,3.54757761,0.16956172,0.15399708,0.01556464,0.36650668,0.09748115,17.89171572,0.0,1.517e-05,0.40510082,0.22372443,0.05145227,0.0,0.05828225,0.09243049,0.26902553,51.92728743,67.7777472,74.72439673,65.09080934,0.23513383,0.11934722,0.05942075,9.63358739
    40.009203859,2.9999999,7.17269716,0.00524433,0.68875208,1.61038052,1.45190124,2.14e-06,0.00213329,0.29288043,0.00085698,0.00109186,0.00050903,0.00012465,7.6e-06,4.8e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,181.42707424,156.07619048,29.32089134,0.0,0.0,49.70617057,43.00447116,100.0,0.0,0.0,24.75393827,0.08224724,0.29290513,0.3550874,0.07321742,0.00722707,0.27464627,15.17606146,3.54389867,0.16786002,0.15277961,0.01508041,0.3453087,0.09179614,17.90114888,0.0,1.488e-05,0.40743271,0.22009848,0.04002626,0.0,0.05110998,0.08543773,0.25351256,51.93143905,67.79182756,74.73289301,65.09872217,0.2349917,0.11925447,0.0593745,9.63417084
    45.010202738,2.99999957,7.17311033,0.00529011,0.6884513,1.62475091,1.45253556,2.15e-06,0.00213567,0.29288061,0.00085248,0.00105977,0.00050917,0.00012399,7.79e-06,4.5e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,181.12,162.89285714,29.31666434,0.0,0.0,49.67923235,43.03039041,100.0,0.0,0.0,24.73265298,0.08019744,0.23860402,0.35375904,0.07321069,0.00629991,0.27424048,15.19791668,3.54355822,0.16774039,0.15444971,0.01329068,0.35804868,0.09563016,17.88908779,0.0,1.485e-05,0.40776779,0.21820613,0.03677915,0.0,0.04427153,0.08225318,0.26241852,51.6703712,67.80537983,74.74155795,65.10453474,0.23506679,0.11930056,0.05939747,9.63702321
    50.011263790,3.00000046,7.17379112,0.00522379,0.68858848,1.60065997,1.45224618,2.14e-06,0.00213683,0.29288293,0.00085028,0.00104059,0.00050941,0.00012415,7.81e-06,4.6e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,178.03147877,255.74,28.58047774,0.0,0.0,49.67669105,43.03179366,100.0,0.0,0.0,24.74125211,0.08437154,0.24485884,0.35589893,0.07333609,0.0065495,0.27599435,15.19295079,3.54244786,0.16718343,0.15347672,0.01370671,0.34497975,0.09010964,17.8882232,0.0,1.482e-05,0.40796374,0.21801213,0.03410917,0.0,0.04000421,0.09078584,0.25487012,52.81259612,67.80620716,74.7465847,65.11138884,0.2350354,0.11926335,0.05937887,9.63519586
