Link 3 is disabled
Link 3 is disabled
Time elapsed: 1004 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6026217189.00,3009620632.00,2207055048.00,796.00,1780.00,0.00,0.00,
38,2.00,6025262064.00,3009630050.00,2207061912.00,659.00,1898.00,0.00,0.00,
39,2.00,6026766854.00,3009625180.00,2207058480.00,814.00,2172.00,0.00,0.00,
40,2.01,6045481467.00,3009628277.00,2207060680.00,664.00,1972.00,0.00,0.00,
51,2.35,7061385843.00,3009609447.00,2207046952.00,720.00,2096.00,0.00,0.00,
52,2.34,7049841913.00,3009607186.00,2207045280.00,564.00,1989.00,0.00,0.00,
53,2.34,7053325642.00,3009599189.00,2207039384.00,733.00,2192.00,0.00,0.00,
54,2.34,7055761169.00,3009615659.00,2207051440.00,595.00,1942.00,0.00,0.00,
*,0.32,84737155296.00,261633802450.00,247187937392.00,177657.00,651290.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6013083894.00,3000229077.00,2200168080.00,450.00,1645.00,0.00,0.00,
38,2.00,6007141194.00,3000225116.00,2200165088.00,485.00,1738.00,0.00,0.00,
39,2.00,6007821313.00,3000228100.00,2200167288.00,427.00,1937.00,0.00,0.00,
40,2.01,6021772706.00,3000236360.00,2200173360.00,354.00,1576.00,0.00,0.00,
51,2.35,7036436084.00,3000243022.00,2200178200.00,391.00,1892.00,0.00,0.00,
52,2.34,7029145832.00,3000246301.00,2200180664.00,520.00,1776.00,0.00,0.00,
53,2.35,7036019991.00,3000242848.00,2200178112.00,468.00,1882.00,0.00,0.00,
54,2.34,7033604097.00,3000228811.00,2200167728.00,370.00,1791.00,0.00,0.00,
*,0.32,84426824647.00,260821352617.00,246420102632.00,68540.00,151645.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6013400209.00,3002150302.00,2201576872.00,488.00,1600.00,0.00,0.00,
38,2.00,6010361141.00,3002150780.00,2201577224.00,543.00,1609.00,0.00,0.00,
39,2.00,6008881581.00,3002150963.00,2201577400.00,475.00,1828.00,0.00,0.00,
40,2.01,6038450523.00,3002138832.00,2201568512.00,572.00,1686.00,0.00,0.00,
51,2.35,7042186054.00,3002138777.00,2201568424.00,546.00,1782.00,0.00,0.00,
52,2.34,7037370778.00,3002137936.00,2201567808.00,721.00,1675.00,0.00,0.00,
53,2.34,7038451988.00,3002149762.00,2201576520.00,275.00,1757.00,0.00,0.00,
54,2.35,7040238631.00,3002150023.00,2201576784.00,591.00,1585.00,0.00,0.00,
*,0.32,84486457473.00,260987484583.00,246577170664.00,68323.00,151423.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6001415358.00,2999164616.00,2199387344.00,829.00,1661.00,0.00,0.00,
38,2.00,5998216719.00,2999164534.00,2199387344.00,493.00,1747.00,0.00,0.00,
39,2.00,6010886996.00,2999160624.00,2199384440.00,1095.00,2076.00,0.00,0.00,
40,2.01,6027452850.00,2999163034.00,2199386200.00,539.00,1665.00,0.00,0.00,
51,2.35,7039074982.00,2999162314.00,2199385672.00,392.00,1954.00,0.00,0.00,
52,2.34,7026266532.00,2999159046.00,2199383296.00,527.00,1789.00,0.00,0.00,
53,2.34,7029432664.00,2999168655.00,2199390248.00,545.00,1957.00,0.00,0.00,
54,2.34,7032972857.00,2999169488.00,2199390864.00,563.00,1842.00,0.00,0.00,
*,0.32,84418735526.00,260727298633.00,246331229144.00,117987.00,394297.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
