Link 3 is disabled
Link 3 is disabled
Time elapsed: 1004 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6049439713.00,3009385375.00,2206882656.00,487.00,1792.00,0.00,0.00,
38,2.01,6052939974.00,3009386139.00,2206883184.00,394.00,2004.00,0.00,0.00,
39,2.00,6006649313.00,3009379761.00,2206878520.00,407.00,2124.00,0.00,0.00,
40,2.01,6048170467.00,3009385801.00,2206882920.00,511.00,2162.00,0.00,0.00,
51,2.34,7056256611.00,3009386608.00,2206883536.00,732.00,1932.00,0.00,0.00,
52,2.35,7060618500.00,3009376018.00,2206875792.00,489.00,2017.00,0.00,0.00,
53,2.35,7059777139.00,3009371133.00,2206872096.00,623.00,1984.00,0.00,0.00,
54,2.35,7058362227.00,3009384145.00,2206881688.00,695.00,1700.00,0.00,0.00,
*,0.32,84891152463.00,261614298882.00,247169495584.00,206624.00,676798.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6038378234.00,3000853205.00,2200625680.00,525.00,1519.00,0.00,0.00,
38,2.01,6035100954.00,3000847134.00,2200621192.00,511.00,1714.00,0.00,0.00,
39,1.99,5980686575.00,3000851328.00,2200624272.00,442.00,1807.00,0.00,0.00,
40,2.01,6029854499.00,3000840331.00,2200616264.00,541.00,1826.00,0.00,0.00,
51,2.35,7037774157.00,3000835846.00,2200612920.00,484.00,1672.00,0.00,0.00,
52,2.34,7034012520.00,3000833479.00,2200611160.00,571.00,2013.00,0.00,0.00,
53,2.35,7038099357.00,3000834654.00,2200612128.00,447.00,1668.00,0.00,0.00,
54,2.34,7035860268.00,3000826324.00,2200606056.00,454.00,1615.00,0.00,0.00,
*,0.32,84532402415.00,260873701320.00,246469527216.00,82797.00,165325.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6044140658.00,3002370253.00,2201738176.00,743.00,1598.00,0.00,0.00,
38,2.01,6038570692.00,3002374471.00,2201741344.00,449.00,1744.00,0.00,0.00,
39,1.99,5982032046.00,3002375412.00,2201741960.00,498.00,1876.00,0.00,0.00,
40,2.01,6038159952.00,3002378524.00,2201744248.00,1311.00,2072.00,0.00,0.00,
51,2.34,7039738981.00,3002379684.00,2201745128.00,465.00,1772.00,0.00,0.00,
52,2.35,7041054181.00,3002379418.00,2201744952.00,540.00,1851.00,0.00,0.00,
53,2.35,7046109662.00,3002377715.00,2201743632.00,417.00,1649.00,0.00,0.00,
54,2.35,7043778169.00,3002382011.00,2201746712.00,684.00,1728.00,0.00,0.00,
*,0.32,84534235141.00,261004366724.00,246593223536.00,67717.00,141721.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6047835074.00,3002447715.00,2201794936.00,399.00,1511.00,0.00,0.00,
38,2.00,6011952034.00,3002445421.00,2201793264.00,430.00,1678.00,0.00,0.00,
39,1.99,5979276939.00,3002441196.00,2201790184.00,591.00,1724.00,0.00,0.00,
40,2.01,6040417687.00,3002443158.00,2201791592.00,490.00,1867.00,0.00,0.00,
51,2.34,7035766772.00,3002439566.00,2201788952.00,402.00,1714.00,0.00,0.00,
52,2.35,7047944384.00,3002445621.00,2201793440.00,574.00,1720.00,0.00,0.00,
53,2.35,7041402316.00,3002447443.00,2201794760.00,492.00,1667.00,0.00,0.00,
54,2.34,7038360107.00,3002442905.00,2201791504.00,647.00,1630.00,0.00,0.00,
*,0.32,84531465228.00,261012364975.00,246600586056.00,111715.00,381099.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
