Link 3 is disabled
Link 3 is disabled
Time elapsed: 1004 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6030816213.00,3009917018.00,2207272496.00,743.00,1671.00,0.00,0.00,
38,2.00,6022895333.00,3009922309.00,2207276368.00,610.00,2098.00,0.00,0.00,
39,2.00,6020908907.00,3009922032.00,2207276192.00,585.00,2058.00,0.00,0.00,
40,2.00,6024650041.00,3009921640.00,2207275840.00,718.00,2174.00,0.00,0.00,
51,2.35,7062659158.00,3009922450.00,2207276456.00,719.00,2150.00,0.00,0.00,
52,2.35,7064468563.00,3009920917.00,2207275400.00,633.00,1835.00,0.00,0.00,
53,2.35,7069775280.00,3009917028.00,2207272496.00,604.00,1807.00,0.00,0.00,
54,2.34,7050964141.00,3009922028.00,2207276104.00,757.00,1930.00,0.00,0.00,
*,0.32,84742864457.00,261664777118.00,247217093904.00,179113.00,642281.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6011988818.00,3002881468.00,2202113056.00,515.00,1543.00,0.00,0.00,
38,2.00,6010396228.00,3002874214.00,2202107776.00,519.00,1785.00,0.00,0.00,
39,2.00,6011606725.00,3002878488.00,2202110944.00,509.00,1846.00,0.00,0.00,
40,2.00,6004032650.00,3002879891.00,2202111912.00,516.00,1883.00,0.00,0.00,
51,2.35,7042819253.00,3002881516.00,2202113056.00,466.00,1909.00,0.00,0.00,
52,2.35,7049265222.00,3002884761.00,2202115432.00,410.00,2060.00,0.00,0.00,
53,2.35,7053718160.00,3002880288.00,2202112264.00,339.00,1720.00,0.00,0.00,
54,2.34,7041250094.00,3002873982.00,2202107600.00,402.00,1699.00,0.00,0.00,
*,0.32,84497088960.00,261052633720.00,246638663480.00,69797.00,150245.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6014803599.00,3002552395.00,2201871760.00,485.00,1507.00,0.00,0.00,
38,2.00,6004444980.00,3002550494.00,2201870352.00,460.00,1747.00,0.00,0.00,
39,2.00,6014581386.00,3002547481.00,2201868152.00,487.00,1859.00,0.00,0.00,
40,2.00,6006436885.00,3002548222.00,2201868768.00,576.00,1840.00,0.00,0.00,
51,2.35,7045083029.00,3002559077.00,2201876688.00,443.00,1609.00,0.00,0.00,
52,2.35,7041802046.00,3002555407.00,2201873960.00,502.00,1758.00,0.00,0.00,
53,2.35,7047247467.00,3002567108.00,2201882496.00,616.00,1793.00,0.00,0.00,
54,2.34,7039155704.00,3002567016.00,2201882496.00,431.00,1727.00,0.00,0.00,
*,0.32,84471906175.00,261019808724.00,246607577480.00,66625.00,147594.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6006647970.00,2999388471.00,2199551552.00,713.00,1508.00,0.00,0.00,
38,2.01,6014656875.00,2999399851.00,2199559912.00,489.00,1627.00,0.00,0.00,
39,2.00,6007524985.00,2999402005.00,2199561408.00,559.00,1793.00,0.00,0.00,
40,2.00,5998281417.00,2999404014.00,2199562904.00,394.00,1873.00,0.00,0.00,
51,2.35,7042568402.00,2999388162.00,2199551288.00,333.00,1693.00,0.00,0.00,
52,2.34,7028528997.00,2999388623.00,2199551640.00,485.00,1954.00,0.00,0.00,
53,2.35,7037871722.00,2999383583.00,2199547944.00,443.00,1850.00,0.00,0.00,
54,2.34,7031099126.00,2999381254.00,2199546272.00,537.00,1644.00,0.00,0.00,
*,0.32,84428157810.00,260746120367.00,246349153336.00,110554.00,402264.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
