Link 3 is disabled
Link 3 is disabled
Time elapsed: 1003 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6043930701.00,3009204022.00,2206749688.00,728.00,1518.00,0.00,0.00,
38,2.01,6051218769.00,3009200439.00,2206746872.00,654.00,1692.00,0.00,0.00,
39,2.01,6041060375.00,3009203432.00,2206749160.00,712.00,1975.00,0.00,0.00,
40,2.00,6032536173.00,3009196252.00,2206743880.00,591.00,2273.00,0.00,0.00,
51,2.35,7063155667.00,3009184069.00,2206734992.00,476.00,1923.00,0.00,0.00,
52,2.34,7053429658.00,3009181301.00,2206732968.00,575.00,2060.00,0.00,0.00,
53,2.35,7061833016.00,3009181825.00,2206733320.00,539.00,2060.00,0.00,0.00,
54,2.34,7055195084.00,3009203357.00,2206749072.00,763.00,1807.00,0.00,0.00,
*,0.32,84796473551.00,261597877686.00,247153889840.00,181020.00,653016.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6007117310.00,3000014076.00,2200010208.00,524.00,1356.00,0.00,0.00,
38,2.01,6028489435.00,3000016371.00,2200011968.00,686.00,1512.00,0.00,0.00,
39,2.01,6021538446.00,3000017229.00,2200012672.00,404.00,1487.00,0.00,0.00,
40,2.01,6021898130.00,3000017518.00,2200012848.00,409.00,1834.00,0.00,0.00,
51,2.35,7036209395.00,3000031570.00,2200023144.00,473.00,1740.00,0.00,0.00,
52,2.34,7033059871.00,3000034088.00,2200024992.00,497.00,1801.00,0.00,0.00,
53,2.34,7034507478.00,3000032203.00,2200023584.00,329.00,1816.00,0.00,0.00,
