Link 3 is disabled
Link 3 is disabled
Time elapsed: 1003 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5999145617.00,3009120985.00,2206688704.00,667.00,1831.00,0.00,0.00,
38,1.99,5983235100.00,3009124013.00,2206690992.00,501.00,1889.00,0.00,0.00,
39,1.99,5993174135.00,3009125045.00,2206691696.00,538.00,2213.00,0.00,0.00,
40,1.99,5975214909.00,3009123023.00,2206690200.00,492.00,2216.00,0.00,0.00,
51,2.34,7056135774.00,3009127005.00,2206693192.00,710.00,2041.00,0.00,0.00,
52,2.35,7059879643.00,3009124335.00,2206691256.00,677.00,1849.00,0.00,0.00,
53,2.35,7059484023.00,3009131178.00,2206696184.00,657.00,2089.00,0.00,0.00,
54,2.35,7059196695.00,3009136759.00,2206700232.00,616.00,1732.00,0.00,0.00,
*,0.32,84578967527.00,261593084582.00,247149328272.00,178664.00,647586.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981012574.00,2999722844.00,2199796808.00,578.00,1593.00,0.00,0.00,
38,1.99,5957833262.00,2999719773.00,2199794520.00,515.00,1700.00,0.00,0.00,
39,1.99,5971693828.00,2999719627.00,2199794432.00,428.00,1893.00,0.00,0.00,
40,1.99,5966516879.00,2999718507.00,2199793552.00,439.00,1836.00,0.00,0.00,
51,2.34,7030858886.00,2999719462.00,2199794256.00,350.00,1732.00,0.00,0.00,
52,2.34,7031701841.00,2999718588.00,2199793552.00,527.00,1725.00,0.00,0.00,
53,2.35,7039467451.00,2999707615.00,2199785544.00,343.00,1939.00,0.00,0.00,
54,2.35,7034558431.00,2999700687.00,2199780528.00,672.00,1722.00,0.00,0.00,
*,0.32,84254421419.00,260775279953.00,246376716608.00,66970.00,154103.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5975857717.00,2999435444.00,2199585960.00,802.00,1664.00,0.00,0.00,
38,1.98,5952751607.00,2999439776.00,2199589128.00,575.00,1851.00,0.00,0.00,
39,1.99,5967987393.00,2999451909.00,2199598104.00,559.00,1869.00,0.00,0.00,
40,1.98,5949033016.00,2999455959.00,2199601096.00,522.00,2046.00,0.00,0.00,
51,2.35,7035483806.00,2999454699.00,2199600040.00,473.00,1818.00,0.00,0.00,
52,2.34,7029660492.00,2999460958.00,2199604704.00,594.00,2065.00,0.00,0.00,
53,2.35,7037631213.00,2999471306.00,2199612272.00,1219.00,2034.00,0.00,0.00,
54,2.35,7035911455.00,2999480162.00,2199618784.00,611.00,1956.00,0.00,0.00,
*,0.32,84267665342.00,260754782523.00,246357161248.00,89399.00,167588.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5983703280.00,2999605832.00,2199710920.00,939.00,1611.00,0.00,0.00,
38,1.99,5958617651.00,2999598932.00,2199705904.00,748.00,1644.00,0.00,0.00,
39,1.99,5966459117.00,2999586847.00,2199697016.00,474.00,1780.00,0.00,0.00,
40,1.98,5941859992.00,2999586827.00,2199697016.00,518.00,1969.00,0.00,0.00,
51,2.34,7028440146.00,2999581864.00,2199693408.00,395.00,1791.00,0.00,0.00,
52,2.34,7025955363.00,2999573669.00,2199687424.00,537.00,1994.00,0.00,0.00,
53,2.34,7027715933.00,2999572422.00,2199686456.00,463.00,1942.00,0.00,0.00,
54,2.34,7031762855.00,2999568506.00,2199683552.00,464.00,1835.00,0.00,0.00,
*,0.32,84232349678.00,260761490052.00,246363785096.00,108578.00,411397.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980677666.00,3000031128.00,2200022880.00,371.00,1542.00,0.00,0.00,
38,1.99,5962526530.00,3000033270.00,2200024376.00,550.00,1651.00,0.00,0.00,
39,1.99,5963162092.00,3000034024.00,2200024904.00,513.00,1722.00,0.00,0.00,
40,1.98,5951990085.00,3000031432.00,2200023056.00,502.00,1843.00,0.00,0.00,
51,2.34,7033975967.00,3000038602.00,2200028336.00,489.00,1716.00,0.00,0.00,
52,2.34,7016931923.00,3000037302.00,2200027280.00,359.00,1686.00,0.00,0.00,
53,2.35,7035285025.00,3000029572.00,2200021736.00,560.00,1817.00,0.00,0.00,
54,2.35,7035251726.00,3000025004.00,2200018392.00,346.00,1742.00,0.00,0.00,
*,0.32,84231065769.00,260805384139.00,246404964872.00,88770.00,168628.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5985063999.00,2999880007.00,2199912000.00,740.00,1595.00,0.00,0.00,
38,1.99,5960944631.00,2999885530.00,2199916048.00,572.00,1615.00,0.00,0.00,
39,1.99,5958298760.00,2999885815.00,2199916312.00,446.00,1828.00,0.00,0.00,
40,1.99,5956939714.00,2999886921.00,2199917016.00,516.00,1903.00,0.00,0.00,
51,2.35,7037413752.00,2999905821.00,2199930920.00,501.00,1773.00,0.00,0.00,
52,2.34,7018072711.00,2999910491.00,2199934352.00,396.00,1732.00,0.00,0.00,
53,2.34,7032959561.00,2999907114.00,2199931888.00,402.00,1864.00,0.00,0.00,
54,2.34,7029675050.00,2999910213.00,2199934088.00,523.00,1708.00,0.00,0.00,
*,0.32,84213018277.00,260791304388.00,246391713304.00,76422.00,153779.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5982792556.00,3000063182.00,2200046288.00,501.00,1564.00,0.00,0.00,
38,1.99,5966072038.00,3000058393.00,2200042856.00,464.00,1662.00,0.00,0.00,
39,1.99,5973351799.00,3000055975.00,2200041008.00,351.00,1705.00,0.00,0.00,
40,1.98,5943867866.00,3000058817.00,2200043120.00,533.00,1891.00,0.00,0.00,
51,2.35,7040907234.00,3000039845.00,2200029216.00,423.00,1713.00,0.00,0.00,
52,2.34,7026853604.00,3000039771.00,2200029216.00,520.00,1994.00,0.00,0.00,
53,2.35,7038005531.00,3000044221.00,2200032384.00,463.00,1878.00,0.00,0.00,
54,2.35,7036593492.00,3000051669.00,2200037928.00,389.00,1694.00,0.00,0.00,
*,0.32,84244921650.00,260804739604.00,246404491872.00,61901.00,152680.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5974493448.00,3002132826.00,2201564112.00,430.00,1498.00,0.00,0.00,
38,1.99,5971960581.00,3002129251.00,2201561384.00,373.00,1611.00,0.00,0.00,
39,1.99,5972432672.00,3002137768.00,2201567720.00,576.00,1726.00,0.00,0.00,
40,1.98,5953562255.00,3002133158.00,2201564376.00,483.00,1839.00,0.00,0.00,
51,2.34,7031763718.00,3002139319.00,2201568864.00,588.00,1606.00,0.00,0.00,
52,2.34,7021308985.00,3002140408.00,2201569656.00,486.00,1736.00,0.00,0.00,
53,2.34,7037548821.00,3002141472.00,2201570448.00,554.00,1779.00,0.00,0.00,
54,2.35,7041133798.00,3002127117.00,2201559888.00,617.00,1580.00,0.00,0.00,
*,0.32,84264351685.00,260985920617.00,246575645800.00,59548.00,150167.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5988002012.00,2999585501.00,2199696048.00,659.00,1541.00,0.00,0.00,
38,1.99,5971060062.00,2999589214.00,2199698776.00,684.00,1653.00,0.00,0.00,
39,1.99,5956058970.00,2999591514.00,2199700448.00,799.00,1713.00,0.00,0.00,
40,1.99,5955484320.00,2999590886.00,2199699920.00,442.00,1882.00,0.00,0.00,
51,2.35,7034804796.00,2999589119.00,2199698688.00,495.00,1710.00,0.00,0.00,
52,2.34,7018826978.00,2999583833.00,2199694816.00,563.00,1830.00,0.00,0.00,
53,2.35,7034579355.00,2999580323.00,2199692176.00,483.00,1803.00,0.00,0.00,
54,2.34,7030667776.00,2999581610.00,2199693144.00,448.00,1607.00,0.00,0.00,
*,0.32,84212158230.00,260762285317.00,246364524208.00,67516.00,154242.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5973815700.00,2999853011.00,2199892200.00,584.00,1592.00,0.00,0.00,
38,1.99,5965598608.00,2999853754.00,2199892816.00,575.00,1655.00,0.00,0.00,
39,1.99,5976883766.00,2999849984.00,2199890000.00,503.00,1808.00,0.00,0.00,
40,1.98,5947286638.00,2999849586.00,2199889736.00,535.00,1848.00,0.00,0.00,
51,2.34,7028416507.00,2999852110.00,2199891496.00,412.00,1670.00,0.00,0.00,
52,2.34,7021004315.00,2999857134.00,2199895192.00,604.00,1882.00,0.00,0.00,
53,2.35,7037736220.00,2999873412.00,2199907160.00,610.00,1874.00,0.00,0.00,
54,2.34,7031781022.00,2999874465.00,2199907952.00,613.00,1654.00,0.00,0.00,
*,0.32,84219617458.00,260787452362.00,246388150096.00,60502.00,150098.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5982437098.00,3000033151.00,2200024288.00,677.00,1663.00,0.00,0.00,
38,1.99,5977504672.00,3000031337.00,2200022968.00,409.00,1797.00,0.00,0.00,
39,1.99,5961409238.00,3000028731.00,2200021032.00,487.00,1813.00,0.00,0.00,
40,1.99,5956870769.00,3000031120.00,2200022792.00,434.00,1963.00,0.00,0.00,
51,2.35,7036010149.00,3000022575.00,2200016632.00,492.00,1860.00,0.00,0.00,
52,2.34,7024406626.00,3000030264.00,2200022176.00,585.00,1745.00,0.00,0.00,
53,2.34,7034032549.00,3000016090.00,2200011792.00,412.00,2121.00,0.00,0.00,
54,2.34,7033617362.00,3000017248.00,2200012672.00,427.00,1848.00,0.00,0.00,
*,0.32,84239214423.00,260804103740.00,246403807936.00,68387.00,151260.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5974209258.00,3000134462.00,2200098648.00,656.00,1536.00,0.00,0.00,
38,1.98,5954915575.00,3000156484.00,2200114752.00,443.00,1759.00,0.00,0.00,
39,1.99,5958944466.00,3000172229.00,2200126280.00,540.00,1791.00,0.00,0.00,
40,1.99,5956750256.00,3000181307.00,2200132968.00,475.00,1901.00,0.00,0.00,
51,2.34,7028428072.00,3000196761.00,2200144232.00,507.00,1666.00,0.00,0.00,
52,2.34,7021342735.00,3000186370.00,2200136664.00,543.00,1893.00,0.00,0.00,
53,2.35,7037784086.00,3000184898.00,2200135608.00,387.00,1871.00,0.00,0.00,
54,2.35,7038973873.00,3000184551.00,2200135344.00,392.00,1715.00,0.00,0.00,
*,0.32,84214564660.00,260814515315.00,246413610784.00,62224.00,153203.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5983701942.00,2999825013.00,2199871608.00,627.00,1575.00,0.00,0.00,
38,1.99,5962609839.00,2999801635.00,2199854536.00,464.00,1625.00,0.00,0.00,
39,1.99,5966171905.00,2999784626.00,2199842040.00,609.00,1734.00,0.00,0.00,
40,1.99,5955552314.00,2999775811.00,2199835616.00,588.00,1919.00,0.00,0.00,
51,2.35,7038792928.00,2999761622.00,2199825232.00,584.00,1671.00,0.00,0.00,
52,2.34,7016091257.00,2999773733.00,2199834120.00,685.00,1704.00,0.00,0.00,
53,2.35,7041562798.00,2999772021.00,2199832888.00,513.00,1822.00,0.00,0.00,
54,2.35,7036594109.00,2999773279.00,2199833768.00,484.00,1743.00,0.00,0.00,
*,0.32,84288555887.00,260783929987.00,246384844552.00,71667.00,173928.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980618005.00,2999630319.00,2199728960.00,643.00,1569.00,0.00,0.00,
38,1.99,5964441977.00,2999629004.00,2199727904.00,664.00,1726.00,0.00,0.00,
39,1.99,5967814730.00,2999632032.00,2199730192.00,661.00,1755.00,0.00,0.00,
40,1.99,5960058469.00,2999630291.00,2199728872.00,427.00,1892.00,0.00,0.00,
51,2.34,7030249154.00,2999639123.00,2199735296.00,468.00,1751.00,0.00,0.00,
52,2.34,7016822609.00,2999626309.00,2199725968.00,325.00,1714.00,0.00,0.00,
53,2.35,7036253750.00,2999627646.00,2199726936.00,533.00,1770.00,0.00,0.00,
54,2.34,7032893663.00,2999626294.00,2199725880.00,512.00,1685.00,0.00,0.00,
*,0.32,84217867426.00,260765674378.00,246367595408.00,61564.00,157279.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5971624106.00,2999936572.00,2199953448.00,558.00,1586.00,0.00,0.00,
38,1.99,5963272042.00,2999940831.00,2199956616.00,550.00,1716.00,0.00,0.00,
39,1.98,5954220336.00,2999938254.00,2199954680.00,468.00,1829.00,0.00,0.00,
40,1.99,5956868347.00,2999940556.00,2199956440.00,420.00,1957.00,0.00,0.00,
51,2.34,7030505103.00,2999931622.00,2199949928.00,517.00,1809.00,0.00,0.00,
52,2.34,7017158272.00,2999933762.00,2199951424.00,553.00,1724.00,0.00,0.00,
53,2.35,7034909373.00,2999943615.00,2199958640.00,514.00,1890.00,0.00,0.00,
54,2.34,7034624854.00,2999951090.00,2199964184.00,494.00,1775.00,0.00,0.00,
*,0.32,84195131301.00,260795247038.00,246395529072.00,60997.00,152076.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5979442294.00,2999667041.00,2199755800.00,708.00,1651.00,0.00,0.00,
38,1.99,5964118963.00,2999673008.00,2199760200.00,766.00,1599.00,0.00,0.00,
39,1.99,5964767744.00,2999683493.00,2199767944.00,538.00,1755.00,0.00,0.00,
40,1.99,5956000046.00,2999683682.00,2199768032.00,627.00,1826.00,0.00,0.00,
