Link 3 is disabled
Link 3 is disabled
Time elapsed: 1003 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6022190214.00,3010104716.00,2207410128.00,820.00,1769.00,0.00,0.00,
38,2.00,6029584243.00,3010103965.00,2207409512.00,645.00,1983.00,0.00,0.00,
39,2.00,6034260620.00,3010104796.00,2207410216.00,1127.00,2198.00,0.00,0.00,
40,2.00,6025295316.00,3010097901.00,2207405112.00,571.00,2107.00,0.00,0.00,
51,2.35,7059672905.00,3010087048.00,2207397104.00,544.00,2040.00,0.00,0.00,
52,2.34,7056626074.00,3010092569.00,2207401240.00,865.00,2169.00,0.00,0.00,
53,2.34,7055290010.00,3010091836.00,2207400712.00,593.00,1944.00,0.00,0.00,
54,2.35,7059804376.00,3010098393.00,2207405552.00,858.00,1990.00,0.00,0.00,
*,0.32,84738097899.00,261680216358.00,247231468440.00,173953.00,645107.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6015224731.00,3000222489.00,2200163152.00,671.00,1515.00,0.00,0.00,
38,2.00,6012057656.00,3000223335.00,2200163768.00,529.00,1407.00,0.00,0.00,
39,2.01,6017754083.00,3000221613.00,2200162536.00,619.00,1886.00,0.00,0.00,
40,2.00,5999846194.00,3000229450.00,2200168256.00,392.00,1753.00,0.00,0.00,
51,2.35,7038058508.00,3000227747.00,2200167112.00,582.00,1775.00,0.00,0.00,
52,2.34,7034635315.00,3000228565.00,2200167552.00,401.00,2112.00,0.00,0.00,
53,2.35,7036268242.00,3000226548.00,2200166144.00,411.00,1902.00,0.00,0.00,
54,2.35,7036736796.00,3000223820.00,2200164120.00,463.00,1646.00,0.00,0.00,
*,0.32,84431979445.00,260819240711.00,246418274080.00,66436.00,145672.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6008831208.00,3000002504.00,2200001848.00,739.00,1569.00,0.00,0.00,
38,2.00,5999124282.00,3000004405.00,2200003256.00,474.00,1471.00,0.00,0.00,
39,2.00,6009072997.00,3000003926.00,2200002816.00,508.00,1830.00,0.00,0.00,
40,2.00,5995849250.00,3000000868.00,2200000616.00,522.00,1690.00,0.00,0.00,
51,2.35,7037947722.00,3000024944.00,2200018216.00,546.00,1722.00,0.00,0.00,
52,2.34,7034847127.00,3000026251.00,2200019272.00,397.00,1881.00,0.00,0.00,
53,2.35,7035167310.00,3000025837.00,2200018920.00,630.00,1797.00,0.00,0.00,
54,2.35,7039523398.00,3000021907.00,2200016016.00,632.00,1705.00,0.00,0.00,
*,0.32,84399495590.00,260803124215.00,246402891856.00,67362.00,147560.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6000860104.00,2999534872.00,2199658912.00,683.00,1529.00,0.00,0.00,
38,2.00,6003632130.00,2999535623.00,2199659440.00,709.00,1507.00,0.00,0.00,
39,2.00,6005159634.00,2999535355.00,2199659264.00,357.00,1873.00,0.00,0.00,
40,2.00,6001494075.00,2999538495.00,2199661552.00,486.00,1761.00,0.00,0.00,
51,2.35,7040426615.00,2999514137.00,2199643776.00,301.00,1803.00,0.00,0.00,
52,2.35,7035180972.00,2999508647.00,2199639640.00,648.00,1983.00,0.00,0.00,
53,2.35,7036122361.00,2999511492.00,2199641752.00,637.00,1834.00,0.00,0.00,
54,2.35,7039758140.00,2999515297.00,2199644568.00,543.00,1677.00,0.00,0.00,
*,0.32,84421402699.00,260759602011.00,246361741208.00,113936.00,386985.00,0.00,0.00,

Time elapsed: 1000 ms
