Link 3 is disabled
Link 3 is disabled
Time elapsed: 1004 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6032672768.00,3009797035.00,2207184496.00,551.00,1554.00,0.00,0.00,
38,2.00,6026678895.00,3009795144.00,2207183088.00,396.00,2068.00,0.00,0.00,
39,2.00,6025531138.00,3009793671.00,2207181944.00,447.00,2103.00,0.00,0.00,
40,1.98,5949051404.00,3009786310.00,2207176664.00,535.00,2223.00,0.00,0.00,
51,2.35,7064781300.00,3009778572.00,2207170944.00,648.00,2125.00,0.00,0.00,
52,2.34,7052144443.00,3009776335.00,2207169360.00,569.00,1861.00,0.00,0.00,
53,2.34,7057335717.00,3009770407.00,2207164960.00,489.00,1925.00,0.00,0.00,
54,2.35,7061536563.00,3009769860.00,2207164608.00,522.00,1814.00,0.00,0.00,
*,0.32,84668589048.00,261649608518.00,247202763368.00,165404.00,649011.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6016624203.00,3002388622.00,2201751640.00,652.00,1382.00,0.00,0.00,
38,2.00,6011046133.00,3002396188.00,2201757272.00,515.00,1810.00,0.00,0.00,
39,2.01,6021527254.00,3002396774.00,2201757624.00,424.00,1931.00,0.00,0.00,
40,1.98,5938801643.00,3002406465.00,2201764752.00,512.00,1967.00,0.00,0.00,
51,2.35,7047675280.00,3002398481.00,2201758944.00,421.00,1749.00,0.00,0.00,
52,2.34,7037250328.00,3002397635.00,2201758152.00,382.00,1844.00,0.00,0.00,
53,2.35,7046110985.00,3002401905.00,2201761408.00,782.00,1878.00,0.00,0.00,
54,2.35,7043384832.00,3002395545.00,2201756744.00,464.00,1629.00,0.00,0.00,
*,0.32,84426268661.00,261009113121.00,246597543632.00,67625.00,142777.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6015246071.00,3003024003.00,2202217600.00,466.00,1388.00,0.00,0.00,
38,2.00,6011442156.00,3003017343.00,2202212672.00,454.00,1742.00,0.00,0.00,
39,2.01,6022572087.00,3003016310.00,2202212056.00,576.00,1880.00,0.00,0.00,
40,1.98,5935837741.00,3003009781.00,2202207128.00,451.00,1917.00,0.00,0.00,
51,2.35,7053179995.00,3003017857.00,2202213024.00,510.00,1640.00,0.00,0.00,
52,2.34,7037590052.00,3003017704.00,2202213024.00,461.00,1718.00,0.00,0.00,
53,2.35,7045258544.00,3003015934.00,2202211704.00,463.00,1657.00,0.00,0.00,
54,2.34,7039489750.00,3003020163.00,2202214784.00,548.00,1563.00,0.00,0.00,
*,0.32,84427588079.00,261063506413.00,246648987200.00,64796.00,141820.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6013131666.00,3002072074.00,2201519496.00,577.00,1401.00,0.00,0.00,
38,2.00,6017321635.00,3002076150.00,2201522488.00,476.00,1849.00,0.00,0.00,
39,2.00,6016133231.00,3002078299.00,2201523984.00,763.00,2161.00,0.00,0.00,
40,1.98,5931731635.00,3002084009.00,2201528296.00,495.00,2056.00,0.00,0.00,
51,2.35,7046293070.00,3002090363.00,2201532960.00,478.00,1748.00,0.00,0.00,
52,2.34,7037931820.00,3002090034.00,2201532696.00,598.00,2008.00,0.00,0.00,
53,2.35,7041017134.00,3002088520.00,2201531552.00,574.00,1600.00,0.00,0.00,
54,2.34,7039123981.00,3002089841.00,2201532520.00,494.00,1703.00,0.00,0.00,
*,0.32,84436079001.00,260979416747.00,246569556816.00,117301.00,384388.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6009654658.00,3000060456.00,2200044352.00,801.00,1346.00,0.00,0.00,
38,2.00,6008947700.00,3000058743.00,2200043120.00,642.00,1636.00,0.00,0.00,
39,2.00,6009847421.00,3000069045.00,2200050688.00,373.00,1858.00,0.00,0.00,
40,1.98,5937365471.00,3000065465.00,2200047960.00,368.00,1889.00,0.00,0.00,
51,2.35,7045409590.00,3000054703.00,2200040128.00,446.00,1776.00,0.00,0.00,
52,2.34,7028277098.00,3000056123.00,2200041184.00,473.00,1787.00,0.00,0.00,
53,2.35,7035215511.00,3000058291.00,2200042768.00,320.00,1679.00,0.00,0.00,
54,2.34,7033570545.00,3000055096.00,2200040392.00,451.00,1561.00,0.00,0.00,
*,0.32,84336151591.00,260807688910.00,246407162408.00,59396.00,144748.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6011237505.00,2999563924.00,2199680208.00,776.00,1308.00,0.00,0.00,
38,2.01,6019404949.00,2999565198.00,2199681088.00,547.00,1673.00,0.00,0.00,
39,2.00,6009600597.00,2999561172.00,2199678184.00,395.00,1804.00,0.00,0.00,
40,1.98,5929009206.00,2999558495.00,2199676248.00,431.00,1865.00,0.00,0.00,
51,2.35,7039163031.00,2999565545.00,2199681440.00,558.00,1709.00,0.00,0.00,
52,2.34,7025949742.00,2999565735.00,2199681528.00,461.00,1957.00,0.00,0.00,
53,2.34,7033672228.00,2999570533.00,2199685048.00,488.00,1695.00,0.00,0.00,
54,2.35,7034181190.00,2999576179.00,2199689272.00,544.00,1495.00,0.00,0.00,
*,0.32,84333124273.00,260760794615.00,246362983240.00,75412.00,146388.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6016247021.00,2999311287.00,2199494968.00,629.00,1451.00,0.00,0.00,
38,2.01,6018148493.00,2999310326.00,2199494264.00,573.00,1673.00,0.00,0.00,
39,2.00,6012838433.00,2999304048.00,2199489688.00,485.00,1897.00,0.00,0.00,
40,1.98,5934731972.00,2999304238.00,2199489952.00,488.00,1968.00,0.00,0.00,
51,2.35,7034550236.00,2999306078.00,2199491096.00,449.00,2585.00,0.00,0.00,
52,2.35,7033398975.00,2999307718.00,2199492328.00,459.00,1783.00,0.00,0.00,
53,2.35,7033721606.00,2999301469.00,2199487752.00,413.00,1780.00,0.00,0.00,
54,2.34,7030327766.00,2999299027.00,2199485904.00,407.00,1622.00,0.00,0.00,
*,0.32,84347474217.00,260739329907.00,246342717456.00,59144.00,144525.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6008270746.00,2999701057.00,2199780792.00,598.00,1299.00,0.00,0.00,
38,2.00,6008099422.00,2999704943.00,2199783608.00,554.00,1636.00,0.00,0.00,
39,2.01,6016723394.00,2999709375.00,2199786864.00,506.00,1841.00,0.00,0.00,
40,1.98,5941794265.00,2999708783.00,2199786424.00,412.00,1844.00,0.00,0.00,
51,2.35,7038601265.00,2999705046.00,2199783696.00,514.00,1758.00,0.00,0.00,
52,2.34,7027501868.00,2999703669.00,2199782728.00,522.00,1677.00,0.00,0.00,
53,2.35,7040048615.00,2999703389.00,2199782464.00,482.00,1677.00,0.00,0.00,
54,2.34,7030774377.00,2999700438.00,2199780352.00,534.00,1602.00,0.00,0.00,
*,0.32,84345771571.00,260775129388.00,246376333104.00,66709.00,146448.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6016922446.00,3000059185.00,2200043384.00,605.00,1426.00,0.00,0.00,
38,2.00,6011130707.00,3000052598.00,2200038544.00,521.00,1672.00,0.00,0.00,
39,2.00,6012824055.00,3000057147.00,2200041888.00,310.00,1875.00,0.00,0.00,
40,1.97,5924899450.00,3000069247.00,2200050600.00,457.00,1967.00,0.00,0.00,
51,2.35,7039728258.00,3000085341.00,2200062568.00,559.00,1762.00,0.00,0.00,
52,2.34,7033922935.00,3000088451.00,2200064856.00,503.00,1723.00,0.00,0.00,
53,2.35,7037607803.00,3000084068.00,2200061688.00,379.00,1758.00,0.00,0.00,
