time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000713220,2.2000016,3.62869031,0.00336168,0.32238108,1.18143018,3.10191904,1.9e-07,3.85e-06,0.29541799,3.49e-06,2.5e-07,4.7e-07,2.1e-07,0.0,7.4e-07,0.0,9e-08,0.0,0.0,0.0,0.0,45.88259926,0.0,21.05761012,0.0,0.0,62.23116864,32.90641198,100.0,0.0,0.0,16.17378712,0.00190131,0.01149669,0.17366531,0.14905387,0.01047093,0.01410825,13.76263648,4.02954293,0.32697263,0.30551071,0.02146192,10.80220754,1.24772374,3.0651475,0.0,0.0006633,0.00025592,0.00342806,0.00131684,0.0,0.00158902,0.0,9.5544838,23.42729476,69.10246283,72.66943744,63.61583276,0.20483708,0.13665704,0.0681251,9.05360468
    10.001421678,2.19999993,3.63022328,0.00354015,0.32206767,1.23751905,3.10493753,1.9e-07,5.2e-07,0.29538661,3.38e-06,2.6e-07,4.5e-07,2e-07,0.0,9.4e-07,0.0,1e-08,1e-08,0.0,0.0,0.0,151.64876957,0.0,20.17718309,0.0,0.0,62.25192534,32.88455325,100.0,0.0,0.0,16.7632965,0.00189386,0.01400135,0.04004174,0.01516712,0.01020661,0.01466816,13.80162848,4.01909611,0.27681796,0.16546763,0.11135033,9.2305214,1.19808882,4.12283994,0.0,0.00067859,0.00028383,0.00346897,0.0013963,0.0,0.00162059,0.0,8.03243258,23.75682861,69.3478625,73.75180898,65.02022856,0.20186705,0.13467448,0.06713689,8.73158043
    15.002076584,2.20000004,3.63204672,0.00348674,0.32192198,1.22403015,3.10634271,1.9e-07,8.6e-07,0.29537972,3.67e-06,2e-07,4.7e-07,2.1e-07,0.0,9.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,231.8028169,0.0,19.87799951,0.0,0.0,62.31311441,32.82556275,100.0,0.0,0.0,17.29269141,0.00185658,0.01435468,0.03963639,0.0154123,0.00969023,0.01453382,13.73527448,4.02241641,0.1116001,0.06851957,0.04308053,5.88667786,0.76865948,4.78873716,0.0,0.00066552,0.00027055,0.00354593,0.00152168,0.0,0.00180503,1.628e-05,5.11801838,26.72275729,69.32379623,76.77909181,69.03440329,0.19365154,0.12919048,0.06440301,7.74468852
    20.002744901,2.20000031,3.63132336,0.00351575,0.32198604,1.23028473,3.10572469,3.3e-07,4.8e-07,0.29538489,3.25e-06,2.6e-07,4.7e-07,2e-07,0.0,9.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00923398,0.0,0.0,62.34141394,32.79666394,100.0,0.0,0.0,16.00443429,0.00191531,0.01441673,0.03963653,0.01526717,0.00991033,0.01445837,13.74904627,4.02144832,0.11407234,0.06917137,0.04490097,7.05128719,0.73579395,3.00777837,0.0,0.00074837,0.00020782,0.00333799,0.0014163,0.0,0.00165149,9.49e-06,6.31549324,27.15709276,69.03076478,76.83022945,69.09533781,0.19352219,0.12910408,0.06436004,7.73489164
    25.003358324,2.20000008,3.63135317,0.00349747,0.32188511,1.22768751,3.10669853,1.9e-07,4.6e-07,0.29537581,3.84e-06,1.179e-05,5e-07,2.1e-07,0.0,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97812896,0.0,0.0,62.24776512,32.88737375,100.0,0.0,0.0,16.05900252,0.00186643,0.01453247,0.03933137,0.01528182,0.00955435,0.01449521,13.78421532,4.02012541,0.11551341,0.071076,0.04443742,6.94082884,0.7358619,3.01454666,0.0,0.0006701,0.00021967,0.00346544,0.00146939,0.0,0.0017255,1.18e-06,6.20496695,26.40556997,69.10756914,76.88467455,69.12813154,0.19336111,0.12899663,0.06430632,7.75654302
    30.003986120,2.20000003,3.63169845,0.00348792,0.33102511,1.32702489,3.02091883,3.3e-07,0.00045125,0.2953918,0.00010693,3.057e-05,8.699e-05,3.134e-05,1.04e-06,9.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17060701,0.0,0.0,57.19952302,38.25516431,100.0,0.0,0.0,15.8518883,0.00188248,0.01768626,0.04061841,0.01626045,0.01000887,0.01434812,15.01776979,3.77728133,0.11434768,0.07078008,0.04356761,7.26249092,0.7982593,2.960304,0.0,0.00073856,0.01882608,0.00441692,0.00771585,4.63e-06,0.00218778,0.0,6.46423163,24.09821001,69.02666715,76.7712839,69.01899012,0.19369802,0.12921736,0.0644164,7.75229377
    35.004609780,2.20000031,3.63233191,0.00348019,0.34016852,1.43682455,2.93971945,2e-07,0.00094054,0.29665232,0.0003706,0.0004683,0.00032194,0.00012698,2.03e-06,3.335e-05,0.0,2e-08,0.0,0.0,0.0,0.0,88.13384484,0.0,20.21756378,0.0,0.0,52.10954451,43.68273796,100.0,0.0,0.0,19.15283146,0.04889623,0.02390155,0.16202727,0.12886718,0.02331166,0.00984884,16.22595221,3.54550042,0.68785348,0.58248399,0.10536949,7.73023129,1.35201076,3.9567662,0.0,1.87e-06,0.43295579,0.23174688,0.0160169,9.391e-05,0.02505684,0.71536312,6.37822053,24.46179191,65.2099181,72.42835833,65.37610051,0.14282406,0.09529382,0.0474635,7.05225782
    40.005256253,2.20000037,3.63062457,0.00349126,0.34028444,1.4401186,2.93871799,2.1e-07,0.00094712,0.29669264,0.00037734,0.00045695,0.00032325,0.00012698,1.91e-06,5.136e-05,0.0,2e-08,0.0,0.0,0.0,0.0,77.77903119,51.54379562,20.16989985,0.0,0.0,52.01010751,43.7807728,100.0,0.0,0.0,19.27067321,0.04900927,0.02033439,0.41149483,0.12911031,0.02310473,0.25984504,16.19254801,3.5641208,0.68640897,0.58221891,0.10419006,7.63434023,1.34041428,3.8374818,0.0,2.21e-06,0.5270391,0.28679938,0.01450446,5.109e-05,0.02479155,0.71371325,6.29392594,24.51528563,65.198515,72.40860806,65.37548665,0.14288292,0.09533295,0.04748316,7.03312141
    45.005876724,2.20000018,3.63215368,0.00276466,0.41524212,1.43588866,2.40823354,2e-07,0.01668786,0.2969634,0.00037841,0.00047688,0.00032181,0.00012692,1.95e-06,4.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.15277778,32.93600055,0.0,0.0,57.60050509,37.54380222,100.0,0.0,0.0,19.18003092,0.05073228,0.02141106,0.78565867,0.1329528,0.02340205,0.63272412,10.60487699,3.09158808,0.68721215,0.58435528,0.10285687,7.65119488,1.35495313,3.8793245,0.0,2.24e-06,0.52986597,0.28643867,0.01418987,4.882e-05,0.02308861,0.71200444,6.29624176,24.43727782,65.18071274,72.48162654,65.45522544,0.17013523,0.09520225,0.04741775,7.0264011
    50.006516622,2.20000023,3.63090769,0.00210756,0.53246118,1.45978103,1.87807119,0.00019015,0.04128814,0.3164808,0.00069834,0.00928845,0.01716874,0.00225841,3.601e-05,3.2e-07,0.0,0.0,0.0,0.0,0.0,1e-08,683.65024631,120.18181818,39.95655684,0.0,0.0,60.96173202,27.80633619,100.0,0.0,0.0,9.08210519,0.17183736,0.00831933,0.53978658,0.31582398,0.04115671,0.18310316,5.01709245,2.64018252,1.95750262,1.73181994,0.22568268,34.05957432,13.5856357,7.91489031,0.0,0.03866586,1.58346415,2.29434064,0.66383166,2.732e-05,0.86646035,5.61685611,20.47393862,22.08213249,50.81649694,54.90064187,44.43878978,0.04853902,0.00122994,0.0004485,10.46185209
    55.007129415,2.19999976,3.63177161,0.00207752,0.53214552,1.44034576,1.87918523,7.879e-05,0.04129447,0.31646485,0.00069121,0.00924822,0.01710889,0.00228213,3.578e-05,2.8e-07,0.0,1e-08,0.0,0.0,0.0,6e-08,590.41549296,68.51791667,41.90385906,0.0,0.0,60.97261283,27.81252979,100.0,0.0,0.0,9.07136279,0.17292826,0.00808328,0.36558872,0.31211066,0.04638223,0.00709581,5.01701252,2.63747242,1.95437235,1.70151337,0.25285899,34.04103498,13.58146342,7.91832977,0.0,0.01616851,1.57343515,2.30938943,0.6556678,0.0,0.87144992,5.60998928,20.45957156,22.0831485,45.62875875,54.93326807,44.18740381,0.08361564,0.02777542,0.00888791,10.74586426
    60.007764138,2.2,3.63215622,0.00209139,0.53195704,1.44877598,1.87985106,7.883e-05,0.04128637,0.31644803,0.00069542,0.00923642,0.01708834,0.00229555,3.555e-05,2.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,845.90740741,85.64197531,43.52142004,0.0,0.0,60.97300858,27.81244535,100.0,0.0,0.0,9.04882082,0.15264896,0.00804364,0.36574377,0.31324206,0.04579463,0.00670641,5.01640408,2.63945363,1.95152996,1.70261504,0.24891492,34.06593595,13.59247481,7.89103409,0.0,0.01617188,1.57426903,2.32170265,0.66239024,0.0,0.99326629,5.58271208,20.47346114,22.07232195,50.83694525,54.93364472,44.47840239,0.12977814,0.06289369,0.02005117,10.45524233
    65.008382406,2.19999948,3.63169595,0.00208129,0.53184684,1.44164256,1.88024057,4.028e-05,0.04128395,0.3164447,0.00026961,0.00922418,0.00630261,0.0008521,1.337e-05,2.9e-07,0.0,1e-08,0.0,0.0,0.0,0.0,819.52466368,145.63366337,41.95167163,0.0,0.0,62.41300922,28.48437867,100.0,0.0,0.0,9.04935941,0.08876782,0.01130727,0.36539906,0.31126106,0.04724461,0.00689377,5.01432953,2.63996575,1.95387863,1.69639253,0.2574861,34.05416689,13.5841798,7.90995983,0.0,0.00832913,1.5708788,2.31602944,0.6553859,0.0,0.49699985,5.59411436,20.46998709,22.08697027,59.91515442,54.94243619,41.47296777,0.22585176,0.12627166,0.05269583,13.46946842
    70.009026307,2.19999998,3.63164589,0.00332722,0.3222689,1.16628362,3.1029988,1.9e-07,4.9e-07,0.29538832,3.5e-06,2.2e-07,4.7e-07,2e-07,7.7e-07,9.6e-07,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,0.0,20.27928521,0.0,0.0,62.17771486,32.96090797,100.0,0.0,0.0,16.00445349,0.0020477,0.01453529,0.03973886,0.01553091,0.01039669,0.01381128,13.86571892,4.017134,0.11404272,0.06831282,0.0457299,7.00425866,0.78052051,3.02879574,0.0,0.00066822,0.00021928,0.00359189,0.00148203,0.0,0.00156659,0.0,6.22373815,24.09724269,69.133267,76.87729329,69.10481118,0.19304633,0.12878666,0.06420143,7.77248212
