metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.199999931875,2.2000013085,2.19999778,2.20000226
metric_CPU utilization %,3.6304740653125,3.6323581875,3.61735796,3.63273449
metric_CPU utilization% in kernel mode,0.0463953959375,0.3674971909999995,0.00251445,0.74735709
metric_CPI,0.45737250796874995,0.5948823575,0.32153253,0.62402915
metric_kernel_CPI,1.4016001395312498,1.914661094,0.87230472,2.08522114
metric_IPC,2.3650731742187503,3.1091461870000003,1.60248924,3.11010521
metric_locks retired per instr,4.5128750000000004e-05,6.946099999999999e-05,1.9e-07,0.00059019
metric_L1D MPI (includes data+rfo w/ prefetches),0.01368952421875,0.030754097499999997,5.3e-07,0.03114407
metric_L1D demand data read hits per instr,0.30294654625,0.314267819,0.29538048,0.31524633
metric_L1-I code read misses (w/ prefetches) per instr,0.0013946065625,0.0030944145,2.97e-06,0.00310763
metric_L2 demand data read hits per instr,0.00387978875,0.008429068500000001,2e-07,0.00843976
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00597748578125,0.013825879,4.6e-07,0.01477469
metric_L2 demand data read MPI,0.00110455890625,0.0024428889999999997,2e-07,0.00249027
metric_L2 demand code MPI,2.82609375e-05,6.597249999999999e-05,0.0,6.68e-05
metric_ITLB MPI,2.69734375e-06,1.5358999999999986e-05,3.7e-07,4.184e-05
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,1.2656250000000001e-08,8.549999999999983e-08,0.0,1.3e-07
metric_DTLB 4KB page load MPI,1.7499999999999998e-08,1.2849999999999994e-07,0.0,1.8e-07
metric_DTLB 2MB large page load MPI,4.687500000000001e-10,0.0,0.0,2e-08
metric_DTLB 1GB large page load MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB store MPI,4.84375e-09,4.6999999999999885e-08,0.0,6e-08
metric_DTLB load miss latency (in core clks),937.5494040290625,2836.3320665659994,0.0,3623.44262295
metric_DTLB store miss latency (in core clks),85.02367286359376,245.73923077249995,0.0,507.4
metric_ITLB miss latency (in core clks),42.526907951718755,72.9397019355,19.98356676,125.73443356
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),51.07885711,62.657262794,36.58398362,62.86067988
metric_% Uops delivered from legacy decode pipeline (MITE),39.444393687499996,45.520991465499996,31.19205809,47.15371629
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),16.207628276406247,19.334364869,11.98974001,21.31963665
metric_TMA_....ICache_Misses(%),0.17290437671875,0.401655667,0.00181515,0.40612702
metric_TMA_....ITLB_Misses(%),0.06801745093750002,0.18037761249999976,0.00870574,1.36266364
metric_TMA_....Branch_Resteers(%),0.53710865140625,1.103933015,0.03587513,1.16870339
metric_TMA_......Mispredicts_Resteers(%),0.4266965346875,0.9276337809999999,0.01447393,0.94445956
metric_TMA_......Clears_Resteers(%),0.06959358671875,0.1610064754999999,0.00714957,0.22034508
metric_TMA_......Unknown_Branches_Resteers(%),0.0408223171875,0.09899072699999999,0.0026603,0.34751092
metric_TMA_....MITE(%),11.10532479796875,15.339412194500001,6.89167214,16.24270498
metric_TMA_....DSB(%),2.9488273590625003,4.0735836359999995,1.90313509,4.08818078
metric_TMA_Bad_Speculation(%),2.2407757509375,4.7544001925,0.09513432,5.23795658
metric_TMA_..Branch_Mispredicts(%),1.9222254634375,4.209190950999999,0.06255988,4.84615141
metric_TMA_..Machine_Clears(%),0.3185502871875,0.6961059685,0.02440099,0.96232213
metric_TMA_Backend_Bound(%),18.34066500421875,33.281491249999995,6.82661662,34.87352501
metric_TMA_..Memory_Bound(%),6.3792061790625,14.645995070499993,0.75319353,15.93368366
metric_TMA_....L1_Bound(%),5.69265598328125,8.823583914,0.0,10.34216656
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.015883271406249996,0.08930471849999969,9.8e-07,0.20709457
metric_TMA_....L2_Bound(%),0.642352703125,1.26858274,0.0001931,1.28387534
metric_TMA_....L3_Bound(%),2.0290527987500004,4.50229164,0.00299554,4.88800577
metric_TMA_....MEM_Bound(%),0.87402631609375,2.0958408299999993,0.00129458,2.49811015
metric_TMA_......MEM_Bandwidth(%),0.00211834890625,0.007347754,0.0,0.00801053
metric_TMA_......MEM_Latency(%),1.296580745625,2.8308028445,0.00152076,3.63192364
metric_TMA_....Store_Bound(%),2.27216616765625,5.421720528999997,0.0,6.05847522
metric_TMA_..Core_Bound(%),11.961458825000001,18.685115967999998,5.97267808,19.31327234
metric_TMA_....Ports_Utilization(%),23.8807876028125,26.116192649,20.78083542,28.38643878
metric_TMA_......Ports_Utilized_3m(%),57.231626911875,68.74013592050001,44.21540951,68.80491446
metric_TMA_Retiring(%),63.20991160984374,76.94298647000001,48.47158822,77.03178122
metric_TMA_..Light_Operations(%),53.8588278275,69.2569104545,37.25561573,72.05469536
metric_TMA_....FP_Arith(%),0.15515288953125,0.24522736999999994,0.04152147,0.27598038
metric_TMA_......FP_Scalar(%),0.07133817296875,0.131343531,0.00420569,0.14493729
metric_TMA_......FP_Vector(%),0.03506865437500001,0.065378629,0.00190436,0.07225268
metric_TMA_..Heavy_Operations(%),9.3510837825,13.201009103499999,4.88759326,13.55952373
