metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.20000009828125,2.2000014904999996,2.19999827,2.20000325
metric_CPU utilization %,3.63083830703125,3.632169586,3.61932789,3.63283253
metric_CPU utilization% in kernel mode,0.043413175625,0.40185227899999965,0.0023683,0.64756739
metric_CPI,0.3740322396875,0.4169412835,0.32591739,0.46372658
metric_kernel_CPI,1.4543525625,1.871959207,0.94730733,1.88944962
metric_IPC,2.6946772425,3.0041751024999996,2.15644312,3.0682622
metric_locks retired per instr,4.6789843750000005e-05,0.0002177764999999995,1.9e-07,0.00051889
metric_L1D MPI (includes data+rfo w/ prefetches),0.0058424868750000004,0.01296880099999999,4.1e-07,0.01553856
metric_L1D demand data read hits per instr,0.27795860015624996,0.2966978205,0.25440427,0.2968473
metric_L1-I code read misses (w/ prefetches) per instr,0.0014712690625,0.0029672554999999995,3.55e-06,0.00303323
metric_L2 demand data read hits per instr,0.00222695484375,0.004618191999999998,1.3e-07,0.00469431
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00213511171875,0.0048821145,5.3e-07,0.00673475
metric_L2 demand data read MPI,0.00045913796875,0.0009914979999999995,2.1e-07,0.00100674
metric_L2 demand code MPI,1.9444375e-05,4.7703499999999995e-05,0.0,5.196e-05
metric_ITLB MPI,1.63646875e-05,0.00011498199999999988,2.2e-07,0.00019415
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,7.890625e-08,2.6e-07,0.0,2.9e-07
metric_DTLB 4KB page load MPI,8.218750000000001e-08,2.7e-07,0.0,6.7e-07
metric_DTLB 2MB large page load MPI,1.0937499999999999e-09,0.0,0.0,6e-08
metric_DTLB 1GB large page load MPI,9.375e-10,0.0,0.0,6e-08
metric_DTLB store MPI,5.7031249999999997e-08,1.6e-07,0.0,1.7e-07
metric_DTLB load miss latency (in core clks),275.18206538625,1180.8425000004988,0.0,2131.5
metric_DTLB store miss latency (in core clks),31.744186148125,69.94792410149998,0.0,132.1509434
metric_ITLB miss latency (in core clks),41.08253291921875,79.53210624899998,19.07927981,88.53173385
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),53.797781693124996,61.70509783,50.44306073,62.29197438
metric_% Uops delivered from legacy decode pipeline (MITE),42.10476468218749,44.7478160115,32.67210874,45.11124475
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),17.1127017553125,19.009505964,12.30319436,19.41588445
metric_TMA_....ICache_Misses(%),0.18974660421875,0.396125898,0.00194077,0.44619936
metric_TMA_....ITLB_Misses(%),0.08324788593750002,0.5408173429999972,0.00811073,1.27203969
metric_TMA_....Branch_Resteers(%),0.6463460871875,1.2578616500000002,0.03884588,1.40137749
metric_TMA_......Mispredicts_Resteers(%),0.5388098740625,0.997305699,0.01503422,1.08326
metric_TMA_......Clears_Resteers(%),0.03638711140624999,0.0766411184999999,0.00718777,0.10073056
metric_TMA_......Unknown_Branches_Resteers(%),0.0711697534375,0.17981928999999977,0.00200707,0.37622735
metric_TMA_....MITE(%),14.253173643593751,16.1849259585,10.99519883,16.26743288
metric_TMA_....DSB(%),3.3506665528125,3.962637439,2.83074636,4.23923715
metric_TMA_Bad_Speculation(%),2.5614089239062503,4.7266467815,0.11541526,5.0133885
metric_TMA_..Branch_Mispredicts(%),2.3962908178125,4.5060190945,0.06876798,4.74723253
metric_TMA_..Machine_Clears(%),0.16511810593749998,0.34152892699999965,0.01280387,0.45467429
metric_TMA_Backend_Bound(%),13.57017823609375,23.12259121699998,6.41544819,24.23996532
metric_TMA_..Memory_Bound(%),3.7996318865624996,8.84812131049999,0.92760008,9.48410055
metric_TMA_....L1_Bound(%),5.23422254015625,7.342663774499998,3.24598553,8.60110366
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.018650235625,0.032648531499999925,2.25e-06,0.77868402
metric_TMA_....L2_Bound(%),0.7631210340625,1.2239924944999998,0.0002151,1.25636417
metric_TMA_....L3_Bound(%),1.210797191875,3.3584541324999955,0.0032621,3.5774167
metric_TMA_....MEM_Bound(%),0.40395793062499996,1.1601190309999994,0.00118404,1.30044159
metric_TMA_......MEM_Bandwidth(%),0.00104486890625,0.0032080474999999996,0.0,0.00472368
metric_TMA_......MEM_Latency(%),0.63549302390625,1.6046897095,0.0013673,1.90712452
metric_TMA_....Store_Bound(%),1.69859851515625,3.459450446999998,0.0,3.76326863
metric_TMA_..Core_Bound(%),9.77054635046875,14.478203749999995,5.48784811,14.75586477
metric_TMA_....Ports_Utilization(%),24.0040761478125,25.1643374015,21.15252303,28.30344196
metric_TMA_......Ports_Utilized_3m(%),59.8521317646875,67.7141106095,53.4910056,67.91083442
metric_TMA_Retiring(%),66.75722322390624,75.6032996795,59.24421753,75.9364402
metric_TMA_..Light_Operations(%),60.21774413921875,67.93170573949999,52.31267825,68.29632196
metric_TMA_....FP_Arith(%),0.10311746171875,0.1913389935,0.00465625,0.19492235
metric_TMA_......FP_Scalar(%),0.06838074796875,0.127645656,0.00314152,0.13004108
metric_TMA_......FP_Vector(%),0.033475773437499995,0.0636300125,0.0014055,0.06482416
metric_TMA_..Heavy_Operations(%),6.53947908484375,7.6370338124999995,5.29730056,10.47317435
