time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000727949,2.19999957,3.62835349,0.00345096,0.32296835,1.23059769,3.09627866,1.9e-07,4.05e-06,0.29539579,3.82e-06,1.6e-07,5.5e-07,2.2e-07,0.0,1.04e-06,0.0,7e-08,0.0,0.0,0.0,0.0,43.02122741,93.55,22.36969865,0.0,0.0,61.89527026,33.23877069,100.0,0.0,0.0,16.15574616,0.00232849,0.01388885,0.07397445,0.04967036,0.00984917,0.01444698,13.83138938,4.02173834,0.48867942,0.40781376,0.08086566,13.97963167,1.62906637,3.03933584,0.0,0.00069166,0.00018364,0.00337116,0.00131093,0.0,0.00154693,0.0,12.35056529,22.93468485,68.92689905,69.32529187,59.24202471,0.21500904,0.14344681,0.07150987,10.08326715
    10.001442670,2.19999981,3.63091453,0.00344011,0.32230976,1.22908717,3.10260541,1.9e-07,4.6e-07,0.29536378,3.71e-06,1.7e-07,5.3e-07,2.1e-07,0.0,9.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82787814,0.0,0.0,61.37296396,33.74882699,100.0,0.0,0.0,17.0248249,0.00218515,0.01360761,0.03951529,0.01580539,0.00900728,0.01470266,13.82267405,3.94175778,0.33979208,0.21644374,0.12334834,10.38394491,1.36504178,4.04189507,0.0,0.00069379,0.00017446,0.0034529,0.00129266,0.0,0.00151804,0.0,9.01890313,23.52658269,68.95671284,72.25631404,63.12514628,0.2057529,0.13726851,0.06842977,9.13116777
    15.002106236,2.19999936,3.63193008,0.00343758,0.32245014,1.22842317,3.10125468,2e-07,8.8e-07,0.29538409,3.7e-06,1.651e-05,4.7e-07,2e-07,0.0,9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8395893,0.0,0.0,61.8194091,33.3101527,100.0,0.0,0.0,17.6660066,0.0022543,0.01374507,0.03902402,0.01521808,0.00942796,0.01437771,13.93541778,4.0227414,0.11022895,0.06806257,0.04216638,5.54165282,0.76097335,4.98752974,0.0,0.00068295,0.00016448,0.00331227,0.00132985,0.0,0.00154312,0.0,4.78067947,25.23080566,69.18697711,76.75692729,69.02722172,0.19337558,0.12900628,0.06431115,7.72970557
    20.002749655,2.20000029,3.63132753,0.0034344,0.32240762,1.22908376,3.10166363,3.4e-07,4.4e-07,0.29538654,3.57e-06,2.041e-05,4.7e-07,2.1e-07,0.0,9.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.80547206,0.0,0.0,62.17519094,32.96729571,100.0,0.0,0.0,16.37180379,0.00204559,0.01390413,0.03901372,0.01516851,0.0094156,0.01442894,13.84479518,4.01749326,0.10635738,0.06562299,0.04073439,6.85056241,0.78205674,3.09801275,0.0,0.00074733,0.00952005,0.00394314,0.00422893,0.0,0.00144512,0.0,6.06850567,24.17785212,68.92234877,76.67132471,68.96199596,0.19372617,0.12924032,0.06442772,7.70932874
    25.003374739,2.19999983,3.63100827,0.00342627,0.32232841,1.22651505,3.10242591,1.9e-07,4.3e-07,0.29538725,3.64e-06,1.5e-07,4.9e-07,2.1e-07,0.0,3.284e-05,0.0,0.0,0.0,0.0,0.0,0.0,2433.83333333,0.0,20.0768222,0.0,0.0,61.66223222,33.46484313,100.0,0.0,0.0,16.14367511,0.00210806,0.01391745,0.03918291,0.0152938,0.00936722,0.01452193,13.83091467,4.02026828,0.11167558,0.06925682,0.04241876,6.93523004,0.77567547,3.03881765,0.0,0.00069606,0.01269838,0.00365011,0.00491004,0.0,0.00142822,0.0,6.15955457,24.2237844,68.86799153,76.80937969,69.08602667,0.19336831,0.12900131,0.06430879,7.72335302
    30.004007086,2.19999894,3.63123103,0.00324141,0.33036295,1.25669969,3.0269738,1.9e-07,0.00039285,0.29538961,7.932e-05,1.5e-07,6.559e-05,2.286e-05,1.28e-06,0.00011337,0.0,9e-08,0.0,0.0,0.0,2e-08,67.73880058,40.36467487,20.06010999,0.0,0.0,56.71354393,38.73412281,100.0,0.0,0.0,16.17271484,0.00224939,0.01314419,0.35287486,0.01518124,0.009567,0.32905391,14.99628157,3.7970245,0.10821457,0.06638174,0.04183283,7.00415253,0.78743171,3.07282559,0.0,0.00068626,0.00014437,0.00328611,0.00136277,0.0,0.0015463,0.0,6.21672082,24.2419249,68.95280648,76.71496433,68.98086666,0.19348072,0.12907244,0.06434405,7.73409767
    35.004628367,2.20000217,3.63166729,0.0030687,0.34012526,1.29723288,2.94009327,2e-07,0.0008602,0.29682493,0.00038129,0.00040851,0.0003267,0.00012836,2.3e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34883721,36.2027459,0.0,0.0,52.03130513,43.7609075,100.0,0.0,0.0,19.40241165,0.04900973,0.0142097,0.54386977,0.12860121,0.02189743,0.39470867,16.22492233,3.54128467,0.67237703,0.5745467,0.09783033,7.49644892,1.32279914,3.8532285,0.0,2.12e-06,0.50539987,0.28554152,0.01522749,6.418e-05,0.02586897,0.73300996,6.17364978,24.45146981,65.25602272,72.42871662,65.39820523,0.14299907,0.09541046,0.04752188,7.03051139
    40.005258453,2.20000033,3.63060187,0.00307818,0.34012271,1.30021036,2.94011536,0.00042529,0.00089513,0.29681801,0.00036746,0.0004233,0.00032645,0.00012825,2.28e-06,5.1e-07,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,65.66493955,35.82064895,0.0,0.0,52.02482463,43.7688239,100.0,0.0,0.0,19.36180824,0.04945809,0.01257267,0.42391563,0.12875812,0.02166798,0.27418245,16.21290125,3.55064419,0.67762549,0.58001758,0.09760791,7.46179174,1.3050558,3.80021763,0.0,0.76614476,0.5142546,0.2863553,0.01505004,4.855e-05,0.02782577,0.73204031,6.15673594,24.50891478,65.2887771,72.4987624,65.45207628,0.14297153,0.09539211,0.04751262,7.04668612
    45.005860144,2.20000009,3.63178784,0.00303784,0.42237158,1.60602266,2.36758355,0.00019127,0.00995153,0.2967884,0.00036682,0.00042898,0.00032665,0.00012827,2.35e-06,5.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80543638,0.0,0.0,51.82801248,43.16759761,100.0,0.0,0.0,19.40988817,0.04693252,0.01246052,0.15378033,0.12883418,0.02110099,0.0038451,11.57308142,2.80552661,0.67772554,0.58234644,0.0953791,7.48608625,1.32048268,3.8310892,0.0,0.00198267,0.51381457,0.28595768,0.01762346,6.483e-05,0.03256479,0.7313023,6.16560357,24.39320323,65.23438027,72.42621683,65.40704505,0.17682929,0.09544847,0.04754076,7.01917178
    50.006482392,2.19999948,3.63109576,0.00274977,0.58234272,1.93196455,1.71720186,6.925e-05,0.02797016,0.31640858,0.00230174,0.00830212,0.01210655,0.00179752,4.856e-05,3.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.85,53.16207993,0.0,0.0,47.23049612,40.56157232,100.0,0.0,0.0,12.55183149,0.27297561,0.01051501,0.88649326,0.66147718,0.18124413,0.04377154,7.15071261,2.0489043,3.73518599,2.93185929,0.8033267,33.48626465,15.18565687,9.41959402,0.0,0.01291068,1.13598351,4.11045466,2.14074479,0.00256227,2.23668172,5.59872924,18.30060778,20.74976543,46.78364998,50.22663735,40.37141523,0.06644476,0.00446648,0.0020352,9.85522212
