metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.1999999446875,2.2000008295,2.19999853,2.20000226
metric_CPU utilization %,3.6303085415625,3.632417458,3.61700593,3.63294934
metric_CPU utilization% in kernel mode,0.06769836859375,0.5040208984999999,0.00208016,0.81760023
metric_CPI,0.42851052546875,0.527307636,0.33707086,0.57266952
metric_kernel_CPI,1.2670433929687501,1.6490330985,0.90181607,1.71023781
metric_IPC,2.43183772796875,2.9664383835,1.74620783,2.96673528
metric_locks retired per instr,6.730234375e-05,0.0001068025,2e-07,0.00089285
metric_L1D MPI (includes data+rfo w/ prefetches),0.0176979321875,0.042130779,3.7e-07,0.04221747
metric_L1D demand data read hits per instr,0.30950389078125,0.32082791,0.30040145,0.32084176
metric_L1-I code read misses (w/ prefetches) per instr,0.0004816225,0.001543938,3.01e-06,0.00157337
metric_L2 demand data read hits per instr,0.00395575625,0.009007077,1.2e-07,0.00901841
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.008376950937499999,0.0189166175,4.8e-07,0.01905924
metric_L2 demand data read MPI,0.0015915912500000001,0.0034280065,2e-07,0.0035018
metric_L2 demand code MPI,1.764671875e-05,5.897599999999997e-05,0.0,6.104e-05
metric_ITLB MPI,4.46671875e-06,9.513499999999981e-06,1.8e-07,0.00013459
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,2.828125e-08,1.3849999999999995e-07,0.0,1.4e-07
metric_DTLB 4KB page load MPI,3.203125e-08,1.4849999999999993e-07,0.0,2.1e-07
metric_DTLB 2MB large page load MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB 1GB large page load MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB store MPI,1.0156249999999999e-08,5.849999999999994e-08,0.0,7e-08
metric_DTLB load miss latency (in core clks),273.449268638125,845.86498432,0.0,2024.3
metric_DTLB store miss latency (in core clks),50.7005685815625,138.764214917,0.0,203.95049505
metric_ITLB miss latency (in core clks),35.239016863125,65.87921121749997,19.12646242,71.25564583
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),75.83443297796875,82.72258359099999,62.02640163,83.49807389
metric_% Uops delivered from legacy decode pipeline (MITE),21.68800425875,36.7201088595,13.32832018,36.80955453
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),4.7967673846875,8.421091909499998,2.29364833,11.06776958
metric_TMA_....ICache_Misses(%),0.09761591781250001,0.3097738115,0.00179658,0.32400599
metric_TMA_....ITLB_Misses(%),0.1026358125,0.7707711974999973,0.0050149,2.0208104
metric_TMA_....Branch_Resteers(%),0.24484357171874999,0.6538631515,0.05016708,0.68866897
metric_TMA_......Mispredicts_Resteers(%),0.14762375625000002,0.49156792049999987,0.01509807,0.65865974
metric_TMA_......Clears_Resteers(%),0.06573677390624999,0.14614569599999996,0.01778559,0.15896919
metric_TMA_......Unknown_Branches_Resteers(%),0.03152225484375,0.06245928799999999,0.00403867,0.43687158
metric_TMA_....MITE(%),5.666432566875001,8.3487251415,4.58100272,8.41397359
metric_TMA_....DSB(%),4.19570304171875,5.2943599695,3.06142241,5.58889775
metric_TMA_Bad_Speculation(%),0.68218700609375,1.844584991999999,0.18226888,2.91578971
metric_TMA_..Branch_Mispredicts(%),0.43386053984374995,1.4836908844999994,0.06968547,2.83860844
metric_TMA_..Machine_Clears(%),0.248326465,0.39464971000000004,0.01470675,0.43889561
metric_TMA_Backend_Bound(%),33.586375311875,49.577499616000004,14.54083423,49.60822311
metric_TMA_..Memory_Bound(%),11.2470120209375,23.2742972705,1.43521756,23.30041891
metric_TMA_....L1_Bound(%),5.2337465746875,8.963354650000001,1.85485379,12.39150668
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.06252068796875,0.043514930499999896,2.06e-06,2.45857241
metric_TMA_....L2_Bound(%),0.5354261371875,1.1583715790000002,0.0001611,1.16232796
metric_TMA_....L3_Bound(%),3.42380993984375,7.455436461,0.00304703,7.57308263
metric_TMA_....MEM_Bound(%),0.2015181703125,0.4551665645,0.00125023,0.46664859
metric_TMA_......MEM_Bandwidth(%),0.00172329125,0.006131300499999998,0.0,0.00745118
metric_TMA_......MEM_Latency(%),0.30044899328124997,0.678236838,0.00147939,0.6838994
metric_TMA_....Store_Bound(%),3.1639045985937497,7.0741837165,0.0,7.09885913
metric_TMA_..Core_Bound(%),22.3393632909375,26.303573610500003,12.59772409,27.86652473
metric_TMA_....Ports_Utilization(%),23.2955016309375,25.0303434635,21.4215579,27.1042982
metric_TMA_......Ports_Utilized_3m(%),56.428394856249994,68.0447562275,43.17862069,68.4088934
metric_TMA_Retiring(%),60.93476941046875,74.316012581,47.52179104,74.33712689
metric_TMA_..Light_Operations(%),56.1950985084375,68.2212962975,43.04134801,69.7724156
metric_TMA_....FP_Arith(%),0.10741354781250001,0.22112867549999995,0.00200467,0.24334452
metric_TMA_......FP_Scalar(%),0.07174672140624999,0.147530225,0.00139493,0.1623594
metric_TMA_......FP_Vector(%),0.035583743437499996,0.07354518449999999,0.00053959,0.08093771
metric_TMA_..Heavy_Operations(%),4.7396709024999994,7.5256089754999955,2.91680602,8.5223834
