time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000701061,2.20000193,3.62022355,0.00308812,0.38650698,1.11163249,2.58727541,2.1e-07,6.937e-05,0.30069242,3.91e-06,1.3e-07,6.7e-07,2.5e-07,0.0,1.79e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16000814,0.0,0.0,81.94797208,13.87921427,100.0,0.0,0.0,4.17862755,0.00207813,0.02182169,0.19497791,0.16409568,0.01743939,0.01340946,5.11548111,4.98030117,0.15637162,0.14134959,0.01502203,24.72790428,2.5697457,3.18834115,0.0,0.00067966,0.0001411,0.00328788,0.00177295,0.0,0.00157911,0.0,22.15815858,27.46059616,62.91941539,70.93711599,65.00381864,0.20476153,0.13660544,0.06809646,5.93329734
    10.001406975,2.20000001,3.63162287,0.00303348,0.35361956,1.09769532,2.82789786,2.1e-07,4.1e-07,0.30061797,3.64e-06,1.7e-07,5.6e-07,2.3e-07,0.0,1.78e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16861311,0.0,0.0,82.26349207,13.56977146,100.0,0.0,0.0,4.13183135,0.00203114,0.02218946,0.19290133,0.1616943,0.01794054,0.01323397,4.92669613,4.99215314,0.32982784,0.29688718,0.03294065,27.48650483,2.93231602,3.20268917,0.0,0.00068073,0.00017701,0.00327363,0.00141117,0.0,0.00155712,0.0,24.55418881,26.75890551,62.9123083,68.04604247,61.11288629,0.21375318,0.14260758,0.07108845,6.93315619
    15.002098207,2.1999993,3.62988113,0.00304817,0.35378006,1.10117691,2.82661495,2.1e-07,2.39e-06,0.30120336,3.67e-06,1.2e-07,5.7e-07,2.4e-07,0.0,1.78e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1787585,0.0,0.0,82.14346365,13.68519442,100.0,0.0,0.0,4.197065,0.00204313,0.02187727,0.04701524,0.01524911,0.01848124,0.01328471,4.98517593,4.9347225,0.81354711,0.36779549,0.44575162,34.91901113,3.95967298,3.19787801,0.0,0.00067749,0.00012109,0.00313318,0.00150331,0.0,0.00146411,0.0,30.95933815,24.89472355,62.82612496,60.04706145,50.36809382,0.24319915,0.16226264,0.08088629,9.67896763
    20.002738455,2.20000056,3.63234709,0.00304656,0.35354847,1.10062806,2.82846652,2.1e-07,4.4e-07,0.30118994,3.63e-06,1.3e-07,5.5e-07,2.4e-07,1e-08,1.79e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81188119,23.12287341,0.0,0.0,82.08508223,13.7458071,100.0,0.0,0.0,5.73336058,0.0021104,0.02241327,0.04824357,0.01541971,0.01947679,0.01334646,4.89442086,4.9221329,0.4786739,0.21151159,0.26716231,28.20402808,3.26770853,3.69154633,0.0,0.00067856,0.00020083,0.00343945,0.00140389,0.0,0.00146357,0.0,24.93631955,26.24816417,63.04113585,65.57640153,57.8021092,0.2219999,0.14811244,0.0738324,7.77429234
    25.003361499,2.20000001,3.63110627,0.00303002,0.35380607,1.09664133,2.82640716,2.1e-07,2.21e-06,0.30120481,3.7e-06,1.2e-07,5.2e-07,2.3e-07,0.0,1.79e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0663264,0.0,0.0,82.18430003,13.64509752,100.0,0.0,0.0,8.33832476,0.00210223,0.02179847,0.04674737,0.01528532,0.01822566,0.01323631,4.97507694,4.95571538,0.15444056,0.07044478,0.08399577,20.58531381,2.57413869,4.69027952,0.0,0.00067855,0.000163,0.00341962,0.00143257,0.0,0.00148786,0.0,18.01117511,27.54387271,63.02655383,70.950229,65.02157872,0.20467191,0.13654581,0.06806645,5.92865028
    30.003988931,2.19999945,3.63207125,0.0029682,0.3629769,1.15984489,2.75499628,2.1e-07,0.00064604,0.30120158,0.00020202,1.3e-07,0.00017542,6.743e-05,1e-06,1.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.09535162,0.0,0.0,77.25589423,18.93740038,100.0,0.0,0.0,9.72128888,0.00891168,0.01711174,0.04820534,0.01544822,0.01925431,0.01350259,6.35238581,4.76391876,0.15237309,0.06783059,0.0845425,19.25693109,2.50956555,5.24336039,0.0,0.00067966,0.00014946,0.00345575,0.00141586,0.0,0.00157785,0.0,16.74736554,28.7021268,63.19787952,70.91309799,64.98117375,0.19994828,0.13339486,0.06649244,5.93192423
    35.004620313,2.20000089,3.63153118,0.00283966,0.37462395,1.21168126,2.6693435,2.2e-07,0.00142142,0.30263884,0.00041702,0.00082408,0.00036024,0.00013881,2.32e-06,6.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,605.85245902,0.0,31.99578273,0.0,0.0,72.25403429,24.32187358,100.0,0.0,0.0,7.79462928,0.04730402,0.01328774,0.16039895,0.12497801,0.03134282,0.00407798,7.50784145,4.63450902,0.73324772,0.58622923,0.14701848,24.67905432,3.91583209,3.92710021,0.0,2.01e-06,0.59433943,0.26890317,0.0145221,1.4e-05,0.02240178,0.57340386,20.76322223,29.05617752,59.61543203,66.79304258,61.52854702,0.15179551,0.10128964,0.05044705,5.26449557
    40.005264986,2.20000002,3.63136461,0.0028371,0.37459026,1.20920512,2.66958358,2.2e-07,0.0014196,0.30262974,0.00041195,0.00077376,0.00035994,0.0001388,2.17e-06,2.794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30828829,0.0,0.0,72.06023543,24.51200663,100.0,0.0,0.0,7.76121789,0.04811155,0.01256322,0.16039842,0.12472392,0.03162799,0.0040465,7.51660646,4.62120006,0.73062754,0.58283095,0.14779659,24.68756505,4.07290034,3.95463959,0.0,1.96e-06,0.58254846,0.25763712,0.01459164,6.182e-05,0.02175668,0.74515393,20.61466471,27.3707562,59.5742353,66.8205615,61.55692262,0.15173164,0.10124699,0.0504258,5.26363888
    45.005901955,2.19999912,3.6318839,0.00256684,0.44004197,1.36449085,2.27251051,2.2e-07,0.01752742,0.30262222,0.00041495,0.00082535,0.00036061,0.00013883,2.06e-06,0.00012664,0.0,0.0,0.0,0.0,0.0,0.0,380.5505618,0.0,20.10012716,0.0,0.0,72.28188444,24.52971544,100.0,0.0,0.0,7.89141205,0.04785408,0.01291617,0.50347227,0.12444499,0.03045492,0.34961441,5.93618819,3.88537231,0.72794305,0.58482194,0.14312111,24.53152903,4.04780513,3.90254281,0.0,2.03e-06,0.59387054,0.27438828,0.01420007,1.045e-05,0.02228522,0.76406746,20.48372389,27.21519122,59.53999718,66.84912925,61.58726437,0.15171753,0.10123127,0.05041791,5.26186488
    50.006502120,2.20000185,3.63072102,0.00212824,0.54573119,1.52054981,1.83240396,0.00033793,0.04357513,0.32072398,0.00066481,0.009343,0.01971516,0.00360651,2.779e-05,5.8e-07,0.0,1e-08,2e-08,0.0,0.0,1e-08,831.27400468,76.58114035,71.43058863,0.0,0.0,74.50590651,25.20009489,100.0,0.0,0.0,2.32170857,0.15179226,0.01299957,0.47023133,0.04800449,0.09661504,0.32648637,4.51796684,3.17040661,0.55786807,0.18517674,0.37269133,51.14231875,23.87095141,9.24684734,0.0,0.08875242,1.16015189,7.34386158,0.45724805,0.00701858,0.68042278,7.01341167,27.27136734,22.53482187,41.22690046,45.97808149,43.09885215,0.00262039,0.00184898,0.00071541,2.87922934
