time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_kernel_CPI,metric_IPC,metric_locks retired per instr,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_ITLB MPI,metric_ITLB large page MPI,metric_DTLB load MPI,metric_DTLB 4KB page load MPI,metric_DTLB 2MB large page load MPI,metric_DTLB 1GB large page load MPI,metric_DTLB store MPI,metric_DTLB load miss latency (in core clks),metric_DTLB store miss latency (in core clks),metric_ITLB miss latency (in core clks),metric_core c6 residency %,metric_package c6 residency %,metric_% Uops delivered from decoded Icache (DSB),metric_% Uops delivered from legacy decode pipeline (MITE),metric_core % cycles in non AVX license,metric_core % cycles in AVX2 license,metric_core % cycles in AVX-512 license,metric_TMA_Frontend_Bound(%),metric_TMA_....ICache_Misses(%),metric_TMA_....ITLB_Misses(%),metric_TMA_....Branch_Resteers(%),metric_TMA_......Mispredicts_Resteers(%),metric_TMA_......Clears_Resteers(%),metric_TMA_......Unknown_Branches_Resteers(%),metric_TMA_....MITE(%),metric_TMA_....DSB(%),metric_TMA_Bad_Speculation(%),metric_TMA_..Branch_Mispredicts(%),metric_TMA_..Machine_Clears(%),metric_TMA_Backend_Bound(%),metric_TMA_..Memory_Bound(%),metric_TMA_....L1_Bound(%),metric_TMA_......DTLB_Load(%),metric_TMA_......Lock_Latency(%),metric_TMA_....L2_Bound(%),metric_TMA_....L3_Bound(%),metric_TMA_....MEM_Bound(%),metric_TMA_......MEM_Bandwidth(%),metric_TMA_......MEM_Latency(%),metric_TMA_....Store_Bound(%),metric_TMA_..Core_Bound(%),metric_TMA_....Ports_Utilization(%),metric_TMA_......Ports_Utilized_3m(%),metric_TMA_Retiring(%),metric_TMA_..Light_Operations(%),metric_TMA_....FP_Arith(%),metric_TMA_......FP_Scalar(%),metric_TMA_......FP_Vector(%),metric_TMA_..Heavy_Operations(%)
     5.000707549,2.19999951,3.62469093,0.00337014,0.3508259,1.20428059,2.85041671,2e-07,3.246e-05,0.30105787,3.57e-06,7.6e-07,5.1e-07,2.1e-07,0.0,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,20.33409593,0.0,0.0,73.3491754,22.58995235,100.0,0.0,0.0,6.68725747,0.00218167,0.01376311,0.20057145,0.17541109,0.0109991,0.01412206,7.9162909,4.61432436,0.11828263,0.11130339,0.00697925,18.42589531,1.09178078,1.55479184,0.0,0.00068289,0.00019328,0.00336053,0.00129667,0.0,0.00142548,0.0,17.33411453,24.7274532,68.65256154,74.76857556,68.63473158,0.19916887,0.13287241,0.06623869,6.13384397
    10.001420784,2.19999979,3.63157541,0.00335474,0.33518228,1.19855089,2.98345128,2e-07,4.1e-07,0.30110557,3.43e-06,1.5e-07,5.8e-07,2.1e-07,0.0,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76215888,0.0,0.0,73.28465254,22.65386593,100.0,0.0,0.0,6.66000639,0.00206588,0.01355595,0.1737756,0.1470927,0.01111897,0.01552937,7.95477299,4.621199,0.33762223,0.31389446,0.02372777,22.17783832,1.35145714,1.5542186,0.0,0.00068728,0.00016219,0.00315261,0.00135139,0.0,0.00147568,4.863e-05,20.82638118,23.93757993,68.63156318,70.81301907,63.47184959,0.21075262,0.14060416,0.07009313,7.34116947
    15.002068233,2.19999957,3.62995387,0.00340198,0.3353569,1.21528049,2.98189779,2e-07,1.15e-06,0.30164244,3.6e-06,1.6e-07,4.9e-07,2.1e-07,0.0,9.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49280836,0.0,0.0,73.23564659,22.70185222,100.0,0.0,0.0,10.81386729,0.00215168,0.01389398,0.0387351,0.01573416,0.01050211,0.01249839,7.91282937,4.62274248,0.39917539,0.23938957,0.15978582,19.18276808,2.29884105,4.13686836,0.0,0.00066879,0.00016819,0.00322338,0.0013784,0.0,0.00162657,0.0,16.88392704,23.84559916,68.93983205,69.62821334,61.92653118,0.21445009,0.14307267,0.07132374,7.70168216
    20.002692643,2.2000002,3.63209079,0.00338741,0.335248,1.2074086,2.98286638,2e-07,1.89e-06,0.30163722,3.59e-06,1.4e-07,4.9e-07,2.1e-07,1e-08,9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.56614181,0.0,0.0,73.34961885,22.58483652,100.0,0.0,0.0,8.98459644,0.00227031,0.01419157,0.04375176,0.01687671,0.01036216,0.01651208,7.8927557,4.60981409,0.12012402,0.07442668,0.04569733,16.18950635,1.52709367,3.01732053,0.0,0.00068297,0.00018319,0.00319953,0.0015884,0.0,0.0015353,2.26e-06,14.66241268,26.03209039,68.86372065,74.72680568,68.59202086,0.19937381,0.13300916,0.06630691,6.13478481
    25.003314641,2.2,3.6303401,0.00437884,0.33518097,1.13300066,2.98346294,2e-07,7.9e-07,0.30164986,3.58e-06,2.345e-05,4.6e-07,2e-07,0.0,9.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,362.59405941,0.0,20.13398583,0.0,0.0,73.1197488,22.81436869,100.0,0.0,0.0,6.67457502,0.0021155,0.01311492,0.0425519,0.01652021,0.01027872,0.01575365,7.94867329,4.62748581,0.12006266,0.07401266,0.04605,18.47551651,1.07462732,1.55943446,0.0,0.00068507,0.00017857,0.00322518,0.00124594,0.0,0.00154586,0.0,17.40088919,25.86931851,68.66742453,74.72984365,68.59663761,0.1993676,0.13300448,0.06630464,6.13320605
    30.003971156,2.19999851,3.63190691,0.00320969,0.33778146,1.23315129,2.96049407,2e-07,0.00015526,0.30164528,0.00018687,4.638e-05,0.00015893,6.263e-05,8.8e-07,9.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.94428308,0.0,0.0,68.29825014,27.99808515,100.0,0.0,0.0,6.69013351,0.01310936,0.01087322,0.0428674,0.0166187,0.01045829,0.01578987,9.14118889,4.43839247,0.12071787,0.07409148,0.04662638,18.49606029,1.09517972,1.53990978,0.0,0.00067098,0.01044221,0.00363659,0.00537565,3.845e-05,0.00209941,0.0,17.40088058,24.69841595,68.64999197,74.69312455,68.56328034,0.18794635,0.12538745,0.06249974,6.12984421
    35.004588593,2.20000131,3.63168836,0.00311164,0.35553185,1.3116836,2.81268755,4.1e-07,0.00119406,0.30349964,0.00039333,0.00061838,0.00032797,0.0001291,1.82e-06,7.249e-05,0.0,3e-08,0.0,0.0,0.0,0.0,222.86299034,0.0,19.66932457,0.0,0.0,63.18009489,33.49226036,100.0,0.0,0.0,10.04183034,0.0464108,0.01905403,0.15284801,0.12625507,0.02343864,0.00315419,10.37605974,4.26172575,0.69320929,0.58466843,0.10854087,19.00820652,2.50782402,2.41212005,0.0,3.7e-06,0.50463703,0.23652749,0.01474607,3.782e-05,0.02024424,0.71705098,16.5003825,24.83865759,64.94286569,70.25674557,64.84045686,0.14740772,0.09835894,0.04899033,5.41628871
    40.005233384,2.20000001,3.63133727,0.00314242,0.35558366,1.31582557,2.81227772,2.1e-07,0.00119664,0.30349887,0.00039123,0.0006168,0.0003271,0.00012904,1.66e-06,0.00011357,0.0,2e-08,0.0,0.0,0.0,0.0,433.30219334,0.0,19.64780944,0.0,0.0,63.17504383,33.4970476,100.0,0.0,0.0,10.03260785,0.04653885,0.01827071,0.15293693,0.12538845,0.0234581,0.00409056,10.38560382,4.26095944,0.69250053,0.58336297,0.10913756,19.01240897,2.51039143,2.32116429,0.0,2e-06,0.56735401,0.26340711,0.01203885,1.8e-07,0.01912411,0.71928209,16.50201755,24.83592398,64.94840658,70.26247683,64.84630475,0.14743068,0.09837516,0.04899854,5.41617208
    45.005860952,2.19999932,3.6317235,0.00260899,0.37652945,1.37467174,2.65583479,2.1e-07,0.0059123,0.30350241,0.00039485,0.0006183,0.00032761,0.00012892,1.69e-06,0.00020062,0.0,2e-08,0.0,0.0,0.0,0.0,702.04621436,0.0,19.57986627,0.0,0.0,63.1133637,34.05250735,100.0,0.0,0.0,10.04162526,0.0455262,0.01464114,0.15254781,0.12609343,0.02353392,0.00292034,8.36246466,3.62728644,0.68848097,0.58019424,0.10828672,18.9995032,2.50931726,2.32202304,0.0,2e-06,0.56605319,0.26594487,0.01270057,5.3e-05,0.02155763,0.71800835,16.49018594,24.83565695,64.94537685,70.27042214,64.85354506,0.14754995,0.09844606,0.04903401,5.41687708
    50.006472355,2.20000049,3.63164131,0.0020583,0.57010003,1.46955931,1.75407814,0.00078755,0.04943226,0.32423328,0.00079836,0.00769903,0.02367548,0.00447798,2.358e-05,9.69e-06,0.0,3e-08,2e-08,0.0,0.0,1e-08,476.43015726,176.68224299,20.21355052,0.0,0.0,64.0721559,35.6136127,100.0,0.0,0.0,3.71605076,0.17013301,0.00608355,0.19061129,0.05006143,0.08198412,0.05859847,6.39323566,2.99472547,0.58446931,0.22158544,0.36288387,52.66992516,26.0569988,9.7291971,0.0,0.24043583,0.60086456,8.96519023,0.44941046,0.00760996,0.67677293,8.71164913,26.61292636,20.87954527,40.02190264,43.02951192,41.04619239,0.00321609,0.0022594,0.0009033,1.98331952
