metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.19999996421875,2.2000007395,2.19999877,2.20000138
metric_CPU utilization %,3.63131161453125,3.6328748225000003,3.6209126,3.63321543
metric_CPU utilization% in kernel mode,0.014806010781250002,0.023776151999999905,0.00194912,0.39202312
metric_CPI,0.4441189709375,0.571983903,0.33726009,0.5722955
metric_kernel_CPI,1.299914493125,1.7672510569999995,0.95748085,1.80214157
metric_IPC,2.37720952171875,2.964707841,1.74734905,2.96507071
metric_locks retired per instr,9.17803125e-05,0.0003134405,2e-07,0.00061583
metric_L1D MPI (includes data+rfo w/ prefetches),0.0216801859375,0.049802409500000006,5.1e-07,0.04999895
metric_L1D demand data read hits per instr,0.31076675828125,0.32452009,0.30049086,0.32453482
metric_L1-I code read misses (w/ prefetches) per instr,0.0005040284375000001,0.0014130435,3.24e-06,0.0014692
metric_L2 demand data read hits per instr,0.0034812615625,0.007704818,1.9e-07,0.00771037
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.010326764375,0.023885594,4.8e-07,0.02392336
metric_L2 demand data read MPI,0.0019942906250000002,0.004493033,2e-07,0.00450796
metric_L2 demand code MPI,1.7023593750000002e-05,5.6036499999999984e-05,0.0,5.947e-05
metric_ITLB MPI,8.40046875e-06,4.7407499999999996e-05,1.9e-07,0.000175
metric_ITLB large page MPI,1.5625e-10,0.0,0.0,1e-08
metric_DTLB load MPI,1.359375e-08,4.849999999999994e-08,0.0,6e-08
metric_DTLB 4KB page load MPI,1.421875e-08,4.849999999999994e-08,0.0,7e-08
metric_DTLB 2MB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,7.031249999999999e-09,2e-08,0.0,4e-08
metric_DTLB load miss latency (in core clks),382.819581055,849.3020911354998,0.0,3275.25
metric_DTLB store miss latency (in core clks),56.64891348515625,121.5751524885,0.0,196.73239437
metric_ITLB miss latency (in core clks),33.21324717171875,52.77256655899999,19.57623839,65.74613756
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),67.143182194375,73.243962154,55.03585809,73.83005495
metric_% Uops delivered from legacy decode pipeline (MITE),30.52237684,42.15929440249999,22.66621204,43.35244453
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),6.1104020748437495,9.906635730499998,3.72757437,10.3223024
metric_TMA_....ICache_Misses(%),0.09305790046875,0.27399162949999983,0.00193497,0.28756926
metric_TMA_....ITLB_Misses(%),0.02136499015625,0.022168641499999975,0.00477277,0.32763413
metric_TMA_....Branch_Resteers(%),0.21964020921875,0.6852916049999997,0.04172229,0.7376108
metric_TMA_......Mispredicts_Resteers(%),0.10814696468749999,0.4679058314999996,0.0154156,0.61955807
metric_TMA_......Clears_Resteers(%),0.05502296875,0.14550471349999997,0.01097144,0.15463782
metric_TMA_......Unknown_Branches_Resteers(%),0.056595652812499994,0.367185325,0.00173054,0.52079167
metric_TMA_....MITE(%),7.591659269375,9.84058511,6.36456898,10.41138028
metric_TMA_....DSB(%),3.70983135140625,4.611727939,2.52069211,4.61874869
metric_TMA_Bad_Speculation(%),0.5747259628125001,1.559808307,0.12661134,1.89959215
metric_TMA_..Branch_Mispredicts(%),0.35012588640625,1.1729490635,0.07325222,1.69930919
metric_TMA_..Machine_Clears(%),0.22460007734374998,0.4521542999999999,0.00650143,0.64167844
metric_TMA_Backend_Bound(%),34.21067208,52.682245134,15.93731282,52.74058041
metric_TMA_..Memory_Bound(%),12.3393906765625,25.9715736195,1.04586508,26.07833782
metric_TMA_....L1_Bound(%),5.5802498059375,10.871027902499998,1.48778285,12.24308849
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.053501970625,0.14031521849999973,1.79e-06,1.37669455
metric_TMA_....L2_Bound(%),0.32423054625000003,0.6688977629999999,0.00020337,0.68966565
metric_TMA_....L3_Bound(%),3.9512299435937503,8.8865304625,0.00308976,9.13784947
metric_TMA_....MEM_Bound(%),0.1856886465625,0.437064214,0.00121631,0.47126537
metric_TMA_......MEM_Bandwidth(%),0.00154870453125,0.005429350999999998,0.0,0.01272355
metric_TMA_......MEM_Latency(%),0.27674122640625,0.6391438239999999,0.00146313,0.70481173
metric_TMA_....Store_Bound(%),3.85911590921875,8.768235438499998,0.0,8.83247707
metric_TMA_..Core_Bound(%),21.871281403906252,26.7552986995,14.38910988,28.93681208
metric_TMA_....Ports_Utilization(%),23.05372581703125,26.62560696899999,19.56757285,28.42241933
metric_TMA_......Ports_Utilized_3m(%),55.153440458281246,68.607797771,37.94853032,68.72010618
metric_TMA_Retiring(%),59.103377454375,74.2904298305,42.82366915,74.32797541
metric_TMA_..Light_Operations(%),54.67225886953125,68.339778878,36.64398974,69.72938526
metric_TMA_....FP_Arith(%),0.11256004484375,0.21326889999999996,0.00248796,0.25362809
metric_TMA_......FP_Scalar(%),0.07549438640624999,0.14228217449999997,0.00172529,0.16922159
metric_TMA_......FP_Vector(%),0.0370039715625,0.070929509,0.00068989,0.08435936
metric_TMA_..Heavy_Operations(%),4.4311185846875,6.1718861899999995,1.98071745,8.47280801
