metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.1999998490625,2.20000047,2.19999717,2.20000109
metric_CPU utilization %,3.63049340390625,3.632642235,3.6117311,3.6334794
metric_CPU utilization% in kernel mode,0.019779118125,0.061880261999999714,0.0019857,0.82559795
metric_CPI,0.4439029990625,0.5664858694999999,0.33503128,0.6213385
metric_kernel_CPI,1.29374485015625,1.60908371,0.95050129,1.82452403
metric_IPC,2.38004975734375,2.9836296445000006,1.60942869,2.98479589
metric_locks retired per instr,0.00010676406249999999,0.00034780999999999907,1.9e-07,0.00115169
metric_L1D MPI (includes data+rfo w/ prefetches),0.02127479984375,0.0491628825,5.5e-07,0.04929333
metric_L1D demand data read hits per instr,0.31087204265625,0.324492379,0.30095905,0.32451858
metric_L1-I code read misses (w/ prefetches) per instr,0.00050224046875,0.0015064629999999993,3.4e-06,0.00158609
metric_L2 demand data read hits per instr,0.0034121096875000005,0.00766628,2.2e-07,0.00767967
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0099856128125,0.023497911,4.8e-07,0.02370522
metric_L2 demand data read MPI,0.00192356546875,0.0043833995,2.1e-07,0.00447978
metric_L2 demand code MPI,1.7279218750000002e-05,5.6665999999999996e-05,0.0,5.92e-05
metric_ITLB MPI,8.151562499999999e-06,2.4118999999999943e-05,2.1e-07,0.00022087
metric_ITLB large page MPI,0.0,0.0,0.0,0.0
metric_DTLB load MPI,2.140625e-08,6.849999999999995e-08,0.0,1.5e-07
metric_DTLB 4KB page load MPI,2e-08,6.849999999999995e-08,0.0,8e-08
metric_DTLB 2MB large page load MPI,3.125e-10,0.0,0.0,1e-08
metric_DTLB 1GB large page load MPI,0.0,0.0,0.0,0.0
metric_DTLB store MPI,6.875e-09,2e-08,0.0,4e-08
metric_DTLB load miss latency (in core clks),255.055981484375,621.4001595464997,0.0,1339.925
metric_DTLB store miss latency (in core clks),58.21100418765625,137.13145616799991,0.0,172.55665025
metric_ITLB miss latency (in core clks),32.637904832031246,57.53245374199999,19.83661801,64.05105623
metric_core c6 residency %,0.0,0.0,0.0,0.0
metric_package c6 residency %,0.0,0.0,0.0,0.0
metric_% Uops delivered from decoded Icache (DSB),67.15474063515624,73.4502627295,54.618335,74.71757834
metric_% Uops delivered from legacy decode pipeline (MITE),30.38184402359375,41.854207904499994,22.48350956,42.89601166
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_TMA_Frontend_Bound(%),6.0179877584375,9.991389718499995,3.73178816,11.13272824
metric_TMA_....ICache_Misses(%),0.098194269375,0.2850837944999998,0.00184442,0.29520058
metric_TMA_....ITLB_Misses(%),0.054441712343750004,0.23322395149999864,0.00560354,1.51113435
metric_TMA_....Branch_Resteers(%),0.19867180640624998,0.6139154374999998,0.04483291,0.71655398
metric_TMA_......Mispredicts_Resteers(%),0.10272282718749999,0.4632935024999999,0.01555971,0.58627643
metric_TMA_......Clears_Resteers(%),0.051883774375,0.1068765195,0.01247674,0.11322951
metric_TMA_......Unknown_Branches_Resteers(%),0.04410753421875,0.11380255499999967,0.00595656,0.44990847
metric_TMA_....MITE(%),7.700322201875,9.696269411000001,6.41608427,10.41199498
metric_TMA_....DSB(%),3.72957321484375,4.629340387999999,2.4955434,4.64896134
metric_TMA_Bad_Speculation(%),0.55109694046875,1.7758571364999993,0.13955908,1.81141497
metric_TMA_..Branch_Mispredicts(%),0.34438048875,1.4819140639999997,0.07451048,1.52660518
metric_TMA_..Machine_Clears(%),0.20671645140625,0.40031183899999995,0.01254199,0.43298119
metric_TMA_Backend_Bound(%),33.77177336109375,52.335576838,16.03232419,52.40937863
metric_TMA_..Memory_Bound(%),12.2404313665625,25.651970431000002,1.07591972,25.7140428
metric_TMA_....L1_Bound(%),5.4359471490625,9.848357247500001,0.52905026,14.98188377
metric_TMA_......DTLB_Load(%),0.0,0.0,0.0,0.0
metric_TMA_......Lock_Latency(%),0.07571169328125,0.3331134934999996,1.7e-06,1.29608161
metric_TMA_....L2_Bound(%),0.32811873234375,0.6625563209999997,0.00020492,0.67577052
metric_TMA_....L3_Bound(%),4.0614508703125,9.0283751685,0.00311794,9.16350676
metric_TMA_....MEM_Bound(%),0.1703373,0.39198583,0.00123585,0.45900546
metric_TMA_......MEM_Bandwidth(%),0.0009716882812500001,0.0033315774999999994,0.0,0.00659139
metric_TMA_......MEM_Latency(%),0.2516519609375,0.584758822,0.00141703,0.66834209
metric_TMA_....Store_Bound(%),3.9102765326562503,8.5806086865,0.0,8.60740104
metric_TMA_..Core_Bound(%),21.53134199390625,26.695310093000003,14.03866102,27.17762875
metric_TMA_....Ports_Utilization(%),23.0738027653125,24.8114832245,20.51575724,28.19669845
metric_TMA_......Ports_Utilized_3m(%),54.78414605390625,68.77035017499999,37.4320022,69.01727675
metric_TMA_Retiring(%),59.65972072234375,74.74840745,43.24674421,74.77383088
metric_TMA_..Light_Operations(%),55.462811247187496,68.949485918,39.97853159,70.1332663
metric_TMA_....FP_Arith(%),0.11298963046875,0.20616799849999998,0.00239269,0.23960765
metric_TMA_......FP_Scalar(%),0.07586580625,0.14112309199999998,0.0016567,0.15986467
metric_TMA_......FP_Vector(%),0.0370636071875,0.06804388049999999,0.0006623,0.0796944
metric_TMA_..Heavy_Operations(%),4.19690947484375,6.458397799499998,1.99105479,7.7257229
